P_MAX,P_MIN,P_AVG,YL_MAX,SDATE,week_year,IsHeating,weekday,temperature_max,temperature_min,temperature_avg,IsHoliday,IsSpringFestival
723,147,362.4430987,8698.3125,2017/11/9,45,0,4,13,4,8.5,0,0
714,145,353.1385937,8505.53125,2017/11/10,45,0,5,12,-1,5.5,0,0
499,139,270.1041681,6505.625,2017/11/11,45,0,6,11,-1,5,1,0
480,138,256.3015522,6174.34375,2017/11/12,45,0,7,12,-1,5.5,1,0
874,136,426.9034437,10269.59375,2017/11/13,46,0.6,1,13,-1,6,0,0
944,239,496.3810323,11925.25,2017/11/14,46,1,2,8,-5,1.5,0,0
891,237,451.4738273,11671.5,2017/11/15,46,1,3,7,-4,1.5,0,0
870,241,469.1078252,11280.84375,2017/11/16,46,1,4,8,-2,3,0,0
872,232,460.6291353,11078.53125,2017/11/17,46,1,5,6,-4,1,0,0
604,230,355.9066127,8559.9375,2017/11/18,46,1,6,5,-7,-1,1,0
605,223,365.8698328,8803.5,2017/11/19,46,1,7,7,-5,1,1,0
877,225,476.5502997,11422.4375,2017/11/20,47,1,1,9,-4,2.5,0,0
841,242,468.8356302,11259.625,2017/11/21,47,1,2,8,-2,3,0,0
840,242,467.4417461,11228.875,2017/11/22,47,1,3,8,-6,1,0,0
857,238,471.707822,11343.1875,2017/11/23,47,1,4,7,-5,1,0,0
901,233,471.0509902,11317.5625,2017/11/24,47,1,5,7,-6,0.5,0,0
595,230,362.0728117,8043.9375,2017/11/25,47,1,6,7,-4,1.5,1,0
580,241,395.3006104,4696.5625,2017/11/26,47,0.6,7,4,-5,-0.5,1,0
839,223,471.0589894,11310.5,2017/11/27,48,1,1,7,-4,1.5,0,0
874,241,480.6709011,11551.6875,2017/11/28,48,1,2,7,-6,0.5,0,0
960,245,500.1038662,12018.4375,2017/11/29,48,1,3,0,-7,-3.5,0,0
873,253,494.8123617,11890.4375,2017/11/30,48,1,4,4,-6,-1,0,0
903,250,487.9043348,11690.5,2017/12/1,48,1,5,5,-5,0,0,0
647,237,382.3900158,9188.125,2017/12/2,48,1,6,7,-4,1.5,1,0
662,224,379.9014206,9130.375,2017/12/3,48,1,7,5,-5,0,1,0
933,244,497.5762725,11956.5,2017/12/4,49,1,1,4,-6,-1,0,0
888,243,487.6684291,11714.8125,2017/12/5,49,1,2,7,-3,2,0,0
924,234,497.6010872,11966.125,2017/12/6,49,1,3,8,-4,2,0,0
863,240,493.3788151,11859.875,2017/12/7,49,1,4,5,-5,0,0,0
867,239,476.3387097,11454.75,2017/12/8,49,1,5,7,-4,1.5,0,0
588,224,355.9352709,8562.0625,2017/12/9,49,1,6,6,-4,1,1,0
558,226,352.1519149,8468.25,2017/12/10,49,1,7,3,-7,-2,1,0
873,233,484.5910722,11650.75,2017/12/11,50,1,1,0,-9,-4.5,0,0
896,252,515.451927,12393.25,2017/12/12,50,1,2,-1,-8,-4.5,0,0
924,266,524.3041782,12597.5625,2017/12/13,50,1,3,0,-5,-2.5,0,0
881,260,502.6366319,12086.6875,2017/12/14,50,1,4,0,-4,-2,0,0
929,252,508.7198102,12233.6875,2017/12/15,50,1,5,3,-7,-2,0,0
632,256,396.4044543,9517.5625,2017/12/16,50,1,6,-1,-8,-4.5,1,0
615,250,387.706104,9311.75,2017/12/17,50,1,7,5,-5,0,1,0
847,237,478.4368068,11499.25,2017/12/18,51,1,1,6,-6,0,0,0
890,241,498.623148,11997.9375,2017/12/19,51,1,2,4,-4,0,0,0
850,251,475.2384647,11411.9375,2017/12/20,51,1,3,6,-6,0,0,0
851,236,473.5265082,11381.75,2017/12/21,51,1,4,8,-6,1,0,0
849,236,465.3928761,11187.5625,2017/12/22,51,1,5,10,-6,2,0,0
665,241,389.6312516,9362.1875,2017/12/23,51,1,6,7,-3,2,1,0
660,230,369.8730084,8901.25,2017/12/24,51,1,7,6,-6,0,1,0
898,236,483.7211402,11626.6875,2017/12/25,52,1,1,5,-4,0.5,0,0
879,255,494.7888189,11878.75,2017/12/26,52,1,2,3,-7,-2,0,0
874,258,494.9800386,11890.375,2017/12/27,52,1,3,4,-5,-0.5,0,0
861,243,489.614159,11766.1875,2017/12/28,52,1,4,5,-4,0.5,0,0
867,248,475.4926004,11582.1875,2017/12/29,52,1,5,4,-3,0.5,0,0
634,240,371.2539682,8928.375,2017/12/30,52,1,6,6,-6,0,2,0
625,230,365.8127712,8796,2017/12/31,52,1,7,4,-7,-1.5,2,0
547,232,335.5443535,8067.375,2018/1/1,1,1,1,3,-6,-1.5,2,0
900,224,493.0281433,11842.3125,2018/1/2,1,1,2,2,-5,-1.5,0,0
918,266,518.5531891,12454.0625,2018/1/3,1,1,3,2,-5,-1.5,0,0
956,262,526.4475145,12649.375,2018/1/4,1,1,4,0,-8,-4,0,0
960,263,510.8163582,12281.5625,2018/1/5,1,1,5,3,-7,-2,0,0
671,251,404.5724114,9716.8125,2018/1/6,1,1,6,2,-6,-2,1,0
621,246,389.1728612,9353.125,2018/1/7,1,1,7,1,-4,-1.5,1,0
909,244,509.7096239,12244.875,2018/1/8,2,1,1,2,-7,-2.5,0,0
933,262,517.3404949,12436.4375,2018/1/9,2,1,2,1,-8,-3.5,0,0
946,262,518.9721145,12461.1875,2018/1/10,2,1,3,-3,-11,-7,0,0
961,257,532.5375673,12813.125,2018/1/11,2,1,4,0,-9,-4.5,0,0
888,263,514.1848378,12355.5625,2018/1/12,2,1,5,3,-8,-2.5,0,0
644,256,381.0607736,9175.9375,2018/1/13,2,1,6,4,-7,-1.5,1,0
662,241,391.7950133,9428.8125,2018/1/14,2,1,7,7,-6,0.5,1,0
922,243,512.9034024,12331.6875,2018/1/15,3,1,1,2,-6,-2,0,0
894,266,497.5466492,11961.5625,2018/1/16,3,1,2,4,-5,-0.5,0,0
937,252,502.3990316,12083.25,2018/1/17,3,1,3,7,-8,-0.5,0,0
918,257,499.7824335,12012.375,2018/1/18,3,1,4,6,-5,0.5,0,0
861,249,485.4851223,11667.5625,2018/1/19,3,1,5,8,-4,2,0,0
634,236,384.7241302,9252.5,2018/1/20,3,1,6,3,-6,-1.5,1,0
635,240,397.1836219,9557.9375,2018/1/21,3,1,7,-1,-6,-3.5,1,0
928,250,509.3793525,12252.0625,2018/1/22,4,1,1,-3,-10,-6.5,0,0
889,270,518.6429545,12465.125,2018/1/23,4,1,2,-3,-13,-8,0,0
967,260,520.6245142,12561.0625,2018/1/24,4,1,3,-3,-12,-7.5,0,0
927,273,504.8863419,12646.625,2018/1/25,4,1,4,-2,-12,-7,0,0
894,265,507.9958864,12197.1875,2018/1/26,4,1,5,-2,-10,-6,0,0
655,251,400.4704813,9622.3125,2018/1/27,4,1,6,0,-10,-5,1,0
710,253,416.8322655,10020.3125,2018/1/28,4,1,7,-1,-8,-4.5,1,0
978,255,533.2972953,12817.5,2018/1/29,5,1,1,1,-8,-3.5,0,0
970,259,523.4583611,12567.5625,2018/1/30,5,1,2,5,-7,-1,0,0
897,253,487.7270575,11716.5,2018/1/31,5,1,3,4,-8,-2,0,0
871,241,482.1017232,11586.25,2018/2/1,5,1,4,4,-7,-1.5,0,0
917,246,497.1159759,11942.0625,2018/2/2,5,1,5,-1,-10,-5.5,0,0
633,250,389.3866353,9366.75,2018/2/3,5,1,6,0,-10,-5,1,0
679,244,398.067449,9571.3125,2018/2/4,5,1,7,2,-8,-3,1,0
949,249,513.3672662,12329.9375,2018/2/5,6,1,1,1,-12,-5.5,0,0
914,258,506.2361997,12159.6875,2018/2/6,6,1,2,4,-8,-2,0,0
879,251,491.8024526,11819.6875,2018/2/7,6,1,3,2,-10,-4,0,0
884,251,488.2450229,11742.1875,2018/2/8,6,1,4,3,-8,-2.5,0,0
898,245,480.2429092,11549.5,2018/2/9,6,1,5,4,-9,-2.5,0,0
627,243,368.1556002,8846.875,2018/2/10,6,1,6,0,-12,-6,1,0
830,228,440.7988389,10597.9375,2018/2/11,6,1,7,0,-9,-4.5,0,0
708,217,404.3864258,9730.4375,2018/2/12,7,1,1,6,-7,-0.5,0,0
666,215,369.3336997,8888,2018/2/13,7,1,2,8,-4,2,0,1
530,201,295.0980244,7097.9375,2018/2/14,7,1,3,7,-6,0.5,0,1
325,188,234.3104309,5645.625,2018/2/15,7,1,4,5,-5,0,4,1
277,190,220.9460001,5325.375,2018/2/16,7,1,5,8,-5,1.5,4,1
284,190,224.6403457,5410.8125,2018/2/17,7,1,6,5,-5,0,4,1
338,191,234.7777952,5656,2018/2/18,7,1,7,9,-3,3,4,1
339,192,234.6888167,5651.875,2018/2/19,8,1,1,7,-3,2,4,1
347,187,235.9264257,5685.625,2018/2/20,8,1,2,5,-5,0,4,1
319,190,227.8625745,5488.3125,2018/2/21,8,1,3,8,-4,2,4,1
648,197,373.545897,8988.0625,2018/2/22,8,1,4,10,-5,2.5,0,1
720,218,396.8959607,9545.75,2018/2/23,8,1,5,11,-4,3.5,0,1
732,217,405.6717744,9752.6875,2018/2/24,8,1,6,3,-7,-2,0,1
589,239,354.6013805,8531.9375,2018/2/25,8,1,7,7,-4,1.5,1,1
816,236,452.6832867,10882.4375,2018/2/26,9,1,1,12,0,6,0,0
862,239,465.7855757,11207.3125,2018/2/27,9,1,2,7,-1,3,0,0
873,240,469.4242967,11293.125,2018/2/28,9,1,3,10,-2,4,0,0
808,237,459.3385941,11035.6245,2018/3/1,9,1,4,9,-3,3,0,0
815,243,448.3602734,10787.375,2018/3/2,9,1,5,9,-2,3.5,0,0
533,225,338.5329365,8144.687,2018/3/3,9,1,6,13,2,7.5,1,0
527,220,347.6465226,8371.1255,2018/3/4,9,1,7,8,-2,3,1,0
841,232,462.735409,11121.6245,2018/3/5,10,1,1,9,-3,3,0,0
899,250,489.2412123,11750.062,2018/3/6,10,1,2,7,-3,2,0,0
962,251,506.1924577,12161.1875,2018/3/7,10,1,3,7,-3,2,0,0
843,243,467.0986716,11225.1875,2018/3/8,10,1,4,8,-4,2,0,0
903,230,472.8119367,11363.1875,2018/3/9,10,1,5,10,-3,3.5,0,0
572,234,350.7438216,8440.875,2018/3/10,10,1,6,15,-2,6.5,1,0
591,230,360.0036095,8656.375,2018/3/11,10,1,7,11,1,6,1,0
870,224,459.4816592,11053.5625,2018/3/12,11,1,1,15,3,9,0,0
