SDATE,temperature_min,temperature_max,temperature_avg
2016-03-01,-2,11,4.5
2016-03-02,2,18,10.0
2016-03-03,3,18,10.5
2016-03-04,4,11,7.5
2016-03-05,-1,12,5.5
2016-03-06,-2,12,5.0
2016-03-07,-2,12,5.0
2016-03-08,-2,6,2.0
2016-03-09,-5,6,0.5
2016-03-10,-4,7,1.5
2016-03-11,-4,8,2.0
2016-03-12,2,9,5.5
2016-03-13,-3,12,4.5
2016-03-14,2,16,9.0
2016-03-15,2,15,8.5
2016-03-16,6,17,11.5
2016-03-17,5,18,11.5
2016-03-18,4,21,12.5
2016-03-19,3,17,10.0
2016-03-20,4,16,10.0
2016-03-21,8,21,14.5
2016-03-22,4,14,9.0
2016-03-23,2,15,8.5
2016-03-24,2,16,9.0
2016-03-25,3,15,9.0
2016-03-26,5,19,12.0
2016-03-27,8,20,14.0
2016-03-28,7,22,14.5
2016-03-29,6,22,14.0
2016-03-30,7,21,14.0
2016-03-31,13,26,19.5
2016-04-01,10,24,17.0
2016-04-02,8,18,13.0
2016-04-03,8,19,13.5
2016-04-04,12,22,17.0
2016-04-05,11,25,18.0
2016-04-06,12,25,18.5
2016-04-07,9,23,16.0
2016-04-08,12,25,18.5
2016-04-09,8,26,17.0
2016-04-10,6,20,13.0
2016-04-11,8,18,13.0
2016-04-12,7,20,13.5
2016-04-13,10,27,18.5
2016-04-14,9,24,16.5
2016-04-15,13,26,19.5
2016-04-16,10,21,15.5
2016-04-17,10,20,15.0
2016-04-18,9,21,15.0
2016-04-19,12,20,16.0
2016-04-20,14,27,20.5
2016-04-21,11,30,20.5
2016-04-22,9,24,16.5
2016-04-23,9,23,16.0
2016-04-24,14,29,21.5
2016-04-25,14,31,22.5
2016-04-26,13,26,19.5
2016-04-27,12,21,16.5
2016-04-28,13,30,21.5
2016-04-29,14,33,23.5
2016-04-30,16,33,24.5
2016-05-01,21,36,28.5
2016-05-02,14,21,17.5
2016-05-03,7,27,17.0
2016-05-04,16,30,23.0
2016-05-05,13,32,22.5
2016-05-06,9,27,18.0
2016-05-07,10,28,19.0
2016-05-08,13,30,21.5
2016-05-09,11,27,19.0
2016-05-10,16,27,21.5
2016-05-11,18,29,23.5
2016-05-12,4,23,13.5
2016-05-13,13,25,19.0
2016-05-14,10,17,13.5
2016-05-15,6,23,14.5
2016-05-16,11,33,22.0
2016-05-17,16,32,24.0
2016-05-18,15,32,23.5
2016-05-19,10,31,20.5
2016-05-20,11,31,21.0
2016-05-21,12,30,21.0
2016-05-22,14,29,21.5
2016-05-23,10,23,16.5
2016-05-24,15,30,22.5
2016-05-25,16,30,23.0
2016-05-26,12,30,21.0
2016-05-27,12,32,22.0
2016-05-28,18,32,25.0
2016-05-29,15,31,23.0
2016-05-30,21,37,29.0
2016-05-31,15,30,22.5
2016-06-01,16,31,23.5
2016-06-02,19,32,25.5
2016-06-03,16,30,23.0
2016-06-04,16,30,23.0
2016-06-05,14,32,23.0
2016-06-06,18,32,25.0
2016-06-07,14,26,20.0
2016-06-08,17,33,25.0
2016-06-09,21,34,27.5
2016-06-10,20,35,27.5
2016-06-11,18,31,24.5
2016-06-12,19,32,25.5
2016-06-13,17,30,23.5
2016-06-14,17,24,20.5
2016-06-15,17,30,23.5
2016-06-16,19,34,26.5
2016-06-17,17,33,25.0
2016-06-18,21,32,26.5
2016-06-19,23,35,29.0
2016-06-20,21,35,28.0
2016-06-21,21,35,28.0
2016-06-22,21,37,29.0
2016-06-23,20,34,27.0
2016-06-24,18,32,25.0
2016-06-25,19,36,27.5
2016-06-26,22,37,29.5
2016-06-27,19,30,24.5
2016-06-28,19,31,25.0
2016-06-29,21,33,27.0
2016-06-30,21,31,26.0
2016-07-01,20,32,26.0
2016-07-02,19,34,26.5
2016-07-03,20,33,26.5
2016-07-04,18,33,25.5
2016-07-05,17,33,25.0
2016-07-06,17,34,25.5
2016-07-07,19,34,26.5
2016-07-08,21,34,27.5
2016-07-09,21,36,28.5
2016-07-10,22,37,29.5
2016-07-11,24,37,30.5
2016-07-12,21,29,25.0
2016-07-13,21,35,28.0
2016-07-14,21,32,26.5
2016-07-15,18,26,22.0
2016-07-16,17,28,22.5
2016-07-17,18,30,24.0
2016-07-18,21,32,26.5
2016-07-19,20,24,22.0
2016-07-20,21,22,21.5
2016-07-21,20,27,23.5
2016-07-22,22,30,26.0
2016-07-23,22,33,27.5
2016-07-24,24,33,28.5
2016-07-25,21,33,27.0
2016-07-26,20,31,25.5
2016-07-27,21,33,27.0
2016-07-28,23,33,28.0
2016-07-29,23,33,28.0
2016-07-30,23,30,26.5
2016-07-31,23,31,27.0
2016-08-01,21,29,25.0
2016-08-02,21,32,26.5
2016-08-03,21,33,27.0
2016-08-04,21,32,26.5
2016-08-05,21,31,26.0
2016-08-06,23,33,28.0
2016-08-07,20,29,24.5
2016-08-08,20,31,25.5
2016-08-09,22,30,26.0
2016-08-10,24,33,28.5
2016-08-11,24,34,29.0
2016-08-12,22,32,27.0
2016-08-13,22,34,28.0
2016-08-14,23,33,28.0
2016-08-15,18,28,23.0
2016-08-16,19,30,24.5
2016-08-17,22,26,24.0
2016-08-18,21,25,23.0
2016-08-19,22,33,27.5
2016-08-20,21,33,27.0
2016-08-21,23,33,28.0
2016-08-22,23,32,27.5
2016-08-23,23,31,27.0
2016-08-24,24,33,28.5
2016-08-25,17,31,24.0
2016-08-26,17,30,23.5
2016-08-27,18,32,25.0
2016-08-28,17,32,24.5
2016-08-29,18,32,25.0
2016-08-30,19,30,24.5
2016-08-31,19,34,26.5
2016-09-01,19,27,23.0
2016-09-02,19,28,23.5
2016-09-03,19,31,25.0
2016-09-04,18,28,23.0
2016-09-05,19,31,25.0
2016-09-06,21,32,26.5
2016-09-07,18,32,25.0
2016-09-08,17,32,24.5
2016-09-09,19,32,25.5
2016-09-10,17,29,23.0
2016-09-11,18,23,20.5
2016-09-12,16,27,21.5
2016-09-13,18,27,22.5
