SDATE,P_MAX,P_MIN,P_AVG,YL_MAX,week_year,IsHoliday,IsHeating,temperature_min,temperature_max,temperature_avg,IsSpringFestival,weekday
2017-11-09,723,147,362.4430986,8698.3125,45,0,0.0,4,13,8.5,0,4
2017-11-10,714,145,353.13859360000004,8505.53125,45,0,0.0,-1,12,5.5,0,5
2017-11-11,499,139,270.10416810000004,6505.625,45,1,0.0,-1,11,5.0,0,6
2017-11-12,480,138,256.3015521,6174.34375,45,1,0.0,-1,12,5.5,0,7
2017-11-13,874,136,426.9034438,10269.59375,46,0,0.6,-1,13,6.0,0,1
2017-11-14,944,239,496.38103229999996,11925.25,46,0,1.0,-5,8,1.5,0,2
2017-11-15,891,237,451.4738274,11671.5,46,0,1.0,-4,7,1.5,0,3
2017-11-16,870,241,469.10782520000004,11280.84375,46,0,1.0,-2,8,3.0,0,4
2017-11-17,872,232,460.62913539999994,11078.53125,46,0,1.0,-4,6,1.0,0,5
2017-11-18,604,230,355.9066127,8559.9375,46,1,1.0,-7,5,-1.0,0,6
2017-11-19,605,223,365.8698327,8803.5,46,1,1.0,-5,7,1.0,0,7
2017-11-20,877,225,476.5502996999999,11422.4375,47,0,1.0,-4,9,2.5,0,1
2017-11-21,841,242,468.8356302,11259.625,47,0,1.0,-2,8,3.0,0,2
2017-11-22,840,242,467.4417461,11228.875,47,0,1.0,-6,8,1.0,0,3
2017-11-23,857,238,471.7078221,11343.1875,47,0,1.0,-5,7,1.0,0,4
2017-11-24,901,233,471.0509902,11317.5625,47,0,1.0,-6,7,0.5,0,5
2017-11-25,595,230,362.0728117,8043.9375,47,1,1.0,-4,7,1.5,0,6
2017-11-26,580,241,395.3006104,4696.5625,47,1,1.0,-5,4,-0.5,0,7
2017-11-27,839,223,471.0589893,11310.5,48,0,1.0,-4,7,1.5,0,1
2017-11-28,874,241,480.6709012,11551.6875,48,0,1.0,-6,7,0.5,0,2
2017-11-29,960,245,500.10386619999997,12018.4375,48,0,1.0,-7,0,-3.5,0,3
2017-11-30,873,253,494.81236169999994,11890.4375,48,0,1.0,-6,4,-1.0,0,4
2017-12-01,903,250,487.9043348,11690.5,48,0,1.0,-5,5,0.0,0,5
2017-12-02,647,237,382.3900158,9188.125,48,1,1.0,-4,7,1.5,0,6
2017-12-03,662,224,379.90142060000005,9130.375,48,1,1.0,-5,5,0.0,0,7
2017-12-04,933,244,497.5762726,11956.5,49,0,1.0,-6,4,-1.0,0,1
2017-12-05,888,243,487.6684291,11714.8125,49,0,1.0,-3,7,2.0,0,2
2017-12-06,924,234,497.60108719999994,11966.125,49,0,1.0,-4,8,2.0,0,3
2017-12-07,863,240,493.37881519999996,11859.875,49,0,1.0,-5,5,0.0,0,4
2017-12-08,867,239,476.3387096,11454.75,49,0,1.0,-4,7,1.5,0,5
2017-12-09,588,224,355.935271,8562.0625,49,1,1.0,-4,6,1.0,0,6
2017-12-10,558,226,352.1519148,8468.25,49,1,1.0,-7,3,-2.0,0,7
2017-12-11,873,233,484.5910722,11650.75,50,0,1.0,-9,0,-4.5,0,1
2017-12-12,896,252,515.451927,12393.25,50,0,1.0,-8,-1,-4.5,0,2
