SDATE,DEVICE_CODE,P_MAX,P_MIN,P_AVG,YL_MAX,S_MINUTE,S_DAY
2018/7/13 12:00:00,K0bjcxm1000310,10.5251,10.4849,10.5112,,18000,13
2018/7/13 12:05:00,K0bjcxm1000310,10.4766,10.4755,10.4761,,18005,13
2018/7/13 12:10:00,K0bjcxm1000310,10.4684,10.4524,10.4585,,18010,13
2018/7/13 12:15:00,K0bjcxm1000310,10.4462,10.4173,10.4348,,18015,13
2018/7/13 12:20:00,K0bjcxm1000310,10.4245,10.4215,10.423,,18020,13
2018/7/13 12:25:00,K0bjcxm1000310,10.4455,10.4378,10.4419,,18025,13
2018/7/13 12:30:00,K0bjcxm1000310,10.4479,10.4402,10.4453,,18030,13
2018/7/13 12:35:00,K0bjcxm1000310,10.4311,10.4311,10.4311,,18035,13
2018/7/13 12:40:00,K0bjcxm1000310,10.4474,10.4319,10.4402,,18040,13
2018/7/13 12:45:00,K0bjcxm1000310,10.4384,10.4192,10.432,,18045,13
2018/7/13 12:50:00,K0bjcxm1000310,10.431,10.4176,10.4243,,18050,13
2018/7/13 12:55:00,K0bjcxm1000310,10.4436,10.4127,10.4251,,18055,13
2018/7/13 13:00:00,K0bjcxm1000310,10.4342,10.4296,10.4319,,18060,13
2018/7/13 13:05:00,K0bjcxm1000310,10.4444,10.4275,10.4338,,18065,13
2018/7/13 13:10:00,K0bjcxm1000310,10.4254,10.4145,10.4218,,18070,13
2018/7/13 13:15:00,K0bjcxm1000310,10.4541,10.4221,10.4381,,18075,13
2018/7/13 13:20:00,K0bjcxm1000310,10.4366,10.4265,10.4314,,18080,13
2018/7/13 13:25:00,K0bjcxm1000310,10.4321,10.4315,10.4317,,18085,13
2018/7/13 13:30:00,K0bjcxm1000310,10.4285,10.4285,10.4285,,18090,13
2018/7/13 13:35:00,K0bjcxm1000310,10.435,10.4227,10.4268,,18095,13
2018/7/13 13:40:00,K0bjcxm1000310,10.4244,10.4084,10.4143,,18100,13
2018/7/13 13:45:00,K0bjcxm1000310,10.4124,10.4112,10.4118,,18105,13
2018/7/13 13:50:00,K0bjcxm1000310,10.4158,10.3876,10.4036,,18110,13
2018/7/13 13:55:00,K0bjcxm1000310,10.4147,10.4016,10.4081,,18115,13
2018/7/13 14:00:00,K0bjcxm1000310,10.4176,10.4176,10.4176,,18120,13
2018/7/13 14:05:00,K0bjcxm1000310,10.4286,10.3973,10.4172,,18125,13
2018/7/13 14:10:00,K0bjcxm1000310,10.4031,10.3951,10.4004,,18130,13
2018/7/13 14:15:00,K0bjcxm1000310,10.4096,10.3993,10.4045,,18135,13
2018/7/13 14:20:00,K0bjcxm1000310,10.4193,10.413,10.4172,,18140,13
2018/7/13 14:25:00,K0bjcxm1000310,10.396,10.396,10.396,,18145,13
2018/7/13 14:30:00,K0bjcxm1000310,10.4268,10.4127,10.4174,,18150,13
2018/7/13 14:35:00,K0bjcxm1000310,10.4167,10.3916,10.402,,18155,13
2018/7/13 14:40:00,K0bjcxm1000310,10.4022,10.398,10.4001,,18160,13
2018/7/13 14:45:00,K0bjcxm1000310,10.4099,10.402,10.4073,,18165,13
2018/7/13 14:50:00,K0bjcxm1000310,10.4087,10.3971,10.4027,,18170,13
2018/7/13 14:55:00,K0bjcxm1000310,10.419,10.3978,10.4084,,18175,13
2018/7/13 15:00:00,K0bjcxm1000310,10.4198,10.3975,10.408,,18180,13
2018/7/13 15:05:00,K0bjcxm1000310,10.4337,10.4094,10.4175,,18185,13
2018/7/13 15:10:00,K0bjcxm1000310,10.4354,10.4127,10.4241,,18190,13
2018/7/13 15:15:00,K0bjcxm1000310,10.4447,10.4236,10.4394,,18195,13
2018/7/13 15:20:00,K0bjcxm1000310,10.4542,10.431,10.4449,,18200,13
2018/7/13 15:25:00,K0bjcxm1000310,10.4308,10.4233,10.4269,,18205,13
2018/7/13 15:30:00,K0bjcxm1000310,10.4267,10.4181,10.4238,,18210,13
2018/7/13 15:35:00,K0bjcxm1000310,10.4467,10.4467,10.4467,,18215,13
2018/7/13 15:40:00,K0bjcxm1000310,10.4442,10.4433,10.4439,,18220,13
2018/7/13 15:45:00,K0bjcxm1000310,10.4674,10.4626,10.4644,,18225,13
2018/7/13 15:50:00,K0bjcxm1000310,10.4663,10.4544,10.4611,,18230,13
2018/7/13 15:55:00,K0bjcxm1000310,10.4625,10.4569,10.4602,,18235,13
2018/7/13 16:00:00,K0bjcxm1000310,10.4411,10.4247,10.4302,,18240,13
2018/7/13 16:05:00,K0bjcxm1000310,10.4625,10.4625,10.4625,,18245,13
2018/7/13 16:10:00,K0bjcxm1000310,10.4623,10.4405,10.4508,,18250,13
2018/7/13 16:15:00,K0bjcxm1000310,10.4692,10.4468,10.4546,,18255,13
2018/7/13 16:20:00,K0bjcxm1000310,10.464,10.4479,10.456,,18260,13
2018/7/13 16:25:00,K0bjcxm1000310,10.4732,10.4402,10.4531,,18265,13
2018/7/13 16:30:00,K0bjcxm1000310,10.474,10.4687,10.4722,,18270,13
2018/7/13 16:35:00,K0bjcxm1000310,10.4728,10.4728,10.4728,,18275,13
2018/7/13 16:40:00,K0bjcxm1000310,10.4715,10.4634,10.4688,,18280,13
2018/7/13 16:45:00,K0bjcxm1000310,10.4864,10.4864,10.4864,,18285,13
2018/7/13 16:50:00,K0bjcxm1000310,10.48,10.4732,10.4755,,18290,13
2018/7/13 16:55:00,K0bjcxm1000310,10.4839,10.4794,10.4824,,18295,13
2018/7/13 17:00:00,K0bjcxm1000310,10.507,10.4918,10.4994,,18300,13
2018/7/13 17:05:00,K0bjcxm1000310,10.5254,10.5183,10.5235,,18305,13
2018/7/13 17:10:00,K0bjcxm1000310,10.5061,10.4831,10.4984,,18310,13
2018/7/13 17:15:00,K0bjcxm1000310,10.5141,10.5141,10.5141,,18315,13
2018/7/13 17:20:00,K0bjcxm1000310,10.5158,10.5148,10.5155,,18320,13
2018/7/13 17:25:00,K0bjcxm1000310,10.5317,10.5212,10.5256,,18325,13
2018/7/13 17:30:00,K0bjcxm1000310,10.5221,10.5221,10.5221,,18330,13
2018/7/13 17:35:00,K0bjcxm1000310,10.5579,10.516,10.5303,,18335,13
2018/7/13 17:40:00,K0bjcxm1000310,10.5262,10.5019,10.5141,,18340,13
2018/7/13 17:45:00,K0bjcxm1000310,10.5194,10.5078,10.5136,,18345,13
2018/7/13 17:50:00,K0bjcxm1000310,10.5471,10.5115,10.5308,,18350,13
2018/7/13 17:55:00,K0bjcxm1000310,10.5716,10.5403,10.556,,18355,13
2018/7/13 18:00:00,K0bjcxm1000310,10.5609,10.5605,10.5607,,18360,13
