S_Year,S_Month,S_DAY,P_MAX,P_MIN,P_AVG,YL_MAX
2017,11,9,396.0,72.0,202.5835739372823,4981.5
2017,11,10,384.0,72.0,195.0606811805556,4815.75
2017,11,11,300.0,72.0,158.973363125,3947.75
2017,11,12,300.0,72.0,161.82701715277778,4016.375
2017,11,13,444.0,72.0,208.32405760416677,5126.875
2017,11,14,504.0,84.0,232.04131940972223,5704.625
2017,11,15,444.0,72.0,210.73215732793537,5641.5
2017,11,16,444.0,84.0,228.51329368055556,5617.125
2017,11,17,420.0,72.0,217.98392857638905,5370.875
2017,11,18,324.0,72.0,167.55525791666668,4149.625
2017,11,19,360.0,72.0,195.14598208333322,4814.75
2017,11,20,456.0,72.0,232.98181818181826,5711.375
2017,11,21,420.0,84.0,223.91532739583332,5501.375
2017,11,22,432.0,84.0,223.68111774305564,5498.75
2017,11,23,444.0,84.0,223.05585319444444,5490.75
2017,11,24,432.0,84.0,226.3326530662022,5545.875
2017,11,25,300.0,84.0,170.76190468164788,3914.375
2017,11,26,312.0,84.0,199.69240755244743,2429.5
2017,11,27,444.0,72.0,227.97103170138882,5595.375
2017,11,28,444.0,84.0,226.97951392361117,5568.0
2017,11,29,492.0,84.0,238.1557538888888,5845.75
2017,11,30,444.0,96.0,241.15823406250007,5915.75
2017,12,1,468.0,84.0,229.61153057142852,5657.75
2017,12,2,336.0,72.0,176.21458322916666,4362.625
2017,12,3,360.0,72.0,188.14816465277778,4645.5
2017,12,4,480.0,84.0,237.50674600694447,5834.0
2017,12,5,456.0,84.0,227.76319440972222,5597.0
2017,12,6,432.0,72.0,226.41924600694452,5570.125
2017,12,7,444.0,84.0,234.2840276736111,5757.25
2017,12,8,444.0,96.0,229.6531746875,5645.875
2017,12,9,324.0,72.0,170.2649305555556,4212.875
2017,12,10,336.0,72.0,169.29002979166677,4193.25
2017,12,11,456.0,72.0,231.92881934027778,5704.25
2017,12,12,480.0,84.0,258.31116072916666,6331.5
2017,12,13,492.0,96.0,265.2449405208333,6501.625
2017,12,14,468.0,84.0,247.64007930555545,6077.5
2017,12,15,480.0,84.0,253.29793319444448,6219.125
2017,12,16,348.0,84.0,201.555555625,4950.375
2017,12,17,372.0,84.0,200.08958336805557,4932.375
2017,12,18,456.0,72.0,229.2966270138888,5635.375
2017,12,19,504.0,72.0,250.56517854166674,6152.75
2017,12,20,444.0,84.0,232.91984121527787,5716.0
2017,12,21,456.0,72.0,228.28888892361115,5613.75
2017,12,22,456.0,72.0,234.81111114583348,5772.5
2017,12,23,372.0,84.0,196.94042659722223,4850.875
2017,12,24,396.0,72.0,187.65021489583333,4633.875
2017,12,25,456.0,72.0,234.2178571527778,5752.75
2017,12,26,456.0,84.0,242.65992062499996,5947.0
2017,12,27,456.0,96.0,238.7913195138888,5862.25
2017,12,28,432.0,72.0,235.79682538194433,5791.75
2017,12,29,480.0,84.0,242.77760886524837,6040.625
2017,12,30,384.0,84.0,184.16453371527777,4550.75
2017,12,31,372.0,72.0,182.73148156250008,4513.125
2018,1,1,348.0,84.0,174.09900798611113,4306.125
2018,1,2,456.0,72.0,241.8281745833334,5938.0
2018,1,3,492.0,96.0,258.69821430555567,6324.0
2018,1,4,516.0,96.0,263.3742063194444,6446.875
2018,1,5,516.0,96.0,255.55714288194454,6269.875
2018,1,6,372.0,84.0,197.8734127083334,4883.5
2018,1,7,372.0,84.0,198.02648802083343,4875.0
2018,1,8,480.0,72.0,252.4170634722222,6189.75
2018,1,9,504.0,96.0,263.61812170138893,6460.0
2018,1,10,504.0,96.0,262.9788690277778,6429.125
2018,1,11,528.0,96.0,271.20992062499994,6640.25
2018,1,12,480.0,84.0,258.9761904513889,6347.0
2018,1,13,360.0,84.0,185.3093253819444,4585.625
2018,1,14,396.0,84.0,193.92981142361106,4786.75
2018,1,15,516.0,84.0,253.8137896875,6225.875
2018,1,16,468.0,96.0,248.20039680555556,6095.25
2018,1,17,516.0,96.0,246.7716765972224,6058.0
2018,1,18,492.0,84.0,246.48234128472228,6049.0
2018,1,19,456.0,72.0,236.62215031358872,5790.875
2018,1,20,372.0,72.0,189.84880951388882,4695.375
2018,1,21,384.0,84.0,208.92197420138885,5138.625
2018,1,22,492.0,84.0,257.23862620209064,6308.625
2018,1,23,504.0,96.0,264.2270782229966,6478.0
2018,1,24,540.0,84.0,269.7115790526317,6634.25
2018,1,25,528.0,108.0,259.0658670229008,6679.125
2018,1,26,492.0,96.0,257.87589288194454,6319.625
2018,1,27,384.0,84.0,198.1875992013889,4878.0
2018,1,28,420.0,84.0,216.5267360763888,5321.625
2018,1,29,528.0,84.0,270.15009920138897,6613.25
2018,1,30,516.0,96.0,268.4113590972222,6568.375
2018,1,31,492.0,84.0,244.8230158680554,5997.125
2018,2,1,468.0,84.0,245.7000000347222,6028.125
2018,2,2,504.0,84.0,250.15396829861115,6130.25
2018,2,3,348.0,84.0,192.9320436458333,4763.125
2018,2,4,420.0,84.0,209.39687510416678,5155.875
2018,2,5,540.0,96.0,263.13417656249993,6444.625
2018,2,6,540.0,96.0,263.60431548611103,6455.875
