S_Year,S_Month,S_DAY,P_MAX,P_MIN,P_AVG,YL_MAX
2017,11,9,328.0,64.0,168.76682114982566,4044.75
2017,11,10,317.0,62.0,162.4444359375001,3908.75
2017,11,11,248.0,60.0,132.8735223958333,3193.625
2017,11,12,253.0,62.0,135.25103114583334,3250.375
2017,11,13,359.0,60.0,173.07315218750003,4159.25
2017,11,14,404.0,76.0,193.13785114583337,4640.0
2017,11,15,356.0,65.0,175.22334858299595,4584.8125
2017,11,16,371.0,76.0,189.8240740972223,4564.0625
2017,11,17,355.0,64.0,181.5350557638889,4365.1875
2017,11,18,261.0,65.0,140.05114770833327,3365.5625
2017,11,19,292.0,61.0,162.44435124999998,3907.9375
2017,11,20,379.0,66.0,193.57613087412585,4643.625
2017,11,21,351.0,74.0,186.17945204861113,4472.0
2017,11,22,357.0,76.0,186.0374629861111,4468.0625
2017,11,23,364.0,72.0,185.38914378472202,4458.0625
2017,11,24,363.0,67.0,187.37633187500012,4502.0
2017,11,25,252.0,67.0,142.18052898876405,3165.125
2017,11,26,256.0,75.0,166.35710139860134,1972.875
2017,11,27,363.0,64.0,189.3602272222223,4548.875
2017,11,28,363.0,74.0,188.48123767361113,4524.5
2017,11,29,401.0,75.0,197.91750930555548,4755.25
2017,11,30,369.0,80.0,200.4045311805556,4811.625
2017,12,1,388.0,72.0,190.87618471428564,4600.5
2017,12,2,273.0,68.0,147.20457399305553,3535.625
2017,12,3,302.0,63.0,157.05308256944454,3772.375
2017,12,4,384.0,75.0,197.2851648611111,4744.875
2017,12,5,375.0,69.0,189.35103347222207,4550.375
2017,12,6,360.0,64.0,188.1675239236111,4526.875
2017,12,7,357.0,68.0,194.8061713194444,4679.5
2017,12,8,363.0,77.0,191.0709947222222,4593.125
2017,12,9,265.0,62.0,142.11476385416668,3416.875
2017,12,10,275.0,60.0,141.7126794444445,3404.75
2017,12,11,377.0,62.0,192.5942079861112,4629.125
2017,12,12,395.0,69.0,214.10979881944434,5146.5
2017,12,13,407.0,77.0,220.2306519097223,5289.625
2017,12,14,377.0,72.0,205.40182753472226,4944.5
2017,12,15,393.0,70.0,210.48712045138896,5062.5
2017,12,16,285.0,80.0,167.10315,4006.375
2017,12,17,308.0,74.0,166.95752211805555,4007.625
2017,12,18,373.0,62.0,190.67502062499997,4584.875
2017,12,19,412.0,64.0,208.0352040625,5008.75
2017,12,20,370.0,75.0,193.69866732638886,4645.125
2017,12,21,373.0,65.0,189.61234510416685,4558.875
