S_Year,S_Month,S_DAY,P_MAX,P_MIN,P_AVG,YL_MAX
2017,11,9,0.0,0.0,0.0,0.0
2017,11,10,0.0,0.0,0.0,0.0
2017,11,11,0.0,0.0,0.0,0.0
2017,11,12,0.0,0.0,0.0,0.0
2017,11,13,0.0,0.0,0.0,0.0
2017,11,14,0.0,0.0,0.0,0.0
2017,11,15,0.0,0.0,0.0,0.0
2017,11,16,0.0,0.0,0.0,0.0
2017,11,17,0.0,0.0,0.0,0.0
2017,11,18,0.0,0.0,0.0,0.0
2017,11,19,0.0,0.0,0.0,0.0
2017,11,20,0.0,0.0,0.0,0.0
2017,11,21,0.0,0.0,0.0,0.0
2017,11,22,0.0,0.0,0.0,0.0
2017,11,23,0.0,0.0,0.0,0.0
2017,11,24,0.0,0.0,0.0,0.0
2017,11,25,0.0,0.0,0.0,0.0
2017,11,26,0.0,0.0,0.0,0.0
2017,11,27,0.0,0.0,0.0,0.0
2017,11,28,0.0,0.0,0.0,0.0
2017,11,29,0.0,0.0,0.0,0.0
2017,11,30,0.0,0.0,0.0,0.0
2017,12,1,0.0,0.0,0.0,0.0
2017,12,2,0.0,0.0,0.0,0.0
2017,12,3,0.0,0.0,0.0,0.0
2017,12,4,0.0,0.0,0.0,0.0
2017,12,5,0.0,0.0,0.0,0.0
2017,12,6,0.0,0.0,0.0,0.0
2017,12,7,0.0,0.0,0.0,0.0
2017,12,8,0.0,0.0,0.0,0.0
2017,12,9,0.0,0.0,0.0,0.0
2017,12,10,0.0,0.0,0.0,0.0
2017,12,11,0.0,0.0,0.0,0.0
2017,12,12,0.0,0.0,0.0,0.0
2017,12,13,0.0,0.0,0.0,0.0
2017,12,14,0.0,0.0,0.0,0.0
2017,12,15,0.0,0.0,0.0,0.0
2017,12,16,0.0,0.0,0.0,0.0
2017,12,17,0.0,0.0,0.0,0.0
2017,12,18,0.0,0.0,0.0,0.0
2017,12,19,0.0,0.0,0.0,0.0
2017,12,20,0.0,0.0,0.0,0.0
2017,12,21,0.0,0.0,0.0,0.0
2017,12,22,0.0,0.0,0.0,0.0
2017,12,23,0.0,0.0,0.0,0.0
2017,12,24,0.0,0.0,0.0,0.0
2017,12,25,0.0,0.0,0.0,0.0
2017,12,26,0.0,0.0,0.0,0.0
2017,12,27,0.0,0.0,0.0,0.0
2017,12,28,0.0,0.0,0.0,0.0
2017,12,29,0.0,0.0,0.0,0.0
2017,12,30,0.0,0.0,0.0,0.0
2017,12,31,0.0,0.0,0.0,0.0
2018,1,1,0.0,0.0,0.0,0.0
2018,1,2,0.0,0.0,0.0,0.0
2018,1,3,0.0,0.0,0.0,0.0
2018,1,4,0.0,0.0,0.0,0.0
2018,1,5,0.0,0.0,0.0,0.0
2018,1,6,0.0,0.0,0.0,0.0
2018,1,7,0.0,0.0,0.0,0.0
2018,1,8,0.0,0.0,0.0,0.0
2018,1,9,0.0,0.0,0.0,0.0
2018,1,10,0.0,0.0,0.0,0.0
2018,1,11,0.0,0.0,0.0,0.0
2018,1,12,0.0,0.0,0.0,0.0
2018,1,13,0.0,0.0,0.0,0.0
2018,1,14,0.0,0.0,0.0,0.0
2018,1,15,0.0,0.0,0.0,0.0
2018,1,16,0.0,0.0,0.0,0.0
2018,1,17,0.0,0.0,0.0,0.0
2018,1,18,0.0,0.0,0.0,0.0
2018,1,19,0.0,0.0,0.0,0.0
2018,1,20,0.0,0.0,0.0,0.0
2018,1,21,0.0,0.0,0.0,0.0
2018,1,22,0.0,0.0,0.0,0.0
2018,1,23,0.0,0.0,0.0,0.0
2018,1,24,0.0,0.0,0.0,0.0
2018,1,25,0.0,0.0,0.0,0.0
2018,1,26,0.0,0.0,0.0,0.0
2018,1,27,0.0,0.0,0.0,0.0
2018,1,28,0.0,0.0,0.0,0.0
2018,1,29,0.0,0.0,0.0,0.0
2018,1,30,0.0,0.0,0.0,0.0
2018,1,31,0.0,0.0,0.0,0.0
2018,2,1,0.0,0.0,0.0,0.0
2018,2,2,0.0,0.0,0.0,0.0
2018,2,3,0.0,0.0,0.0,0.0
2018,2,4,0.0,0.0,0.0,0.0
2018,2,5,0.0,0.0,0.0,0.0
2018,2,6,0.0,0.0,0.0,0.0
2018,2,7,0.0,0.0,0.0,0.0
2018,2,8,0.0,0.0,0.0,0.0
2018,2,9,0.0,0.0,0.0,0.0
2018,2,10,0.0,0.0,0.0,0.0
2018,2,11,0.0,0.0,0.0,0.0
2018,2,12,0.0,0.0,0.0,0.0
2018,2,13,0.0,0.0,0.0,0.0
2018,2,14,0.0,0.0,0.0,0.0
2018,2,15,0.0,0.0,0.0,0.0
2018,2,16,0.0,0.0,0.0,0.0
2018,2,17,0.0,0.0,0.0,0.0
2018,2,18,0.0,0.0,0.0,0.0
2018,2,19,0.0,0.0,0.0,0.0
2018,2,20,0.0,0.0,0.0,0.0
2018,2,21,0.0,0.0,0.0,0.0
2018,2,22,0.0,0.0,0.0,0.0
2018,2,23,0.0,0.0,0.0,0.0
2018,2,24,0.0,0.0,0.0,0.0
2018,2,25,0.0,0.0,0.0,0.0
2018,2,26,0.0,0.0,0.0,0.0
2018,2,27,0.0,0.0,0.0,0.0
2018,2,28,0.0,0.0,0.0,0.0
2018,3,1,0.0,0.0,0.0,0.0
2018,3,2,0.0,0.0,0.0,0.0
2018,3,3,0.0,0.0,0.0,0.0
2018,3,4,0.0,0.0,0.0,0.0
2018,3,5,0.0,0.0,0.0,0.0
2018,3,6,0.0,0.0,0.0,0.0
2018,3,7,0.0,0.0,0.0,0.0
2018,3,8,0.0,0.0,0.0,0.0
2018,3,9,0.0,0.0,0.0,0.0
2018,3,10,0.0,0.0,0.0,0.0
2018,3,11,0.0,0.0,0.0,0.0
2018,3,12,0.0,0.0,0.0,0.0
2018,3,13,0.0,0.0,0.0,0.0
2018,3,14,0.0,0.0,0.0,0.0
2018,3,15,0.0,0.0,0.0,0.0
2018,3,16,0.0,0.0,0.0,0.0
2018,3,17,0.0,0.0,0.0,0.0
2018,3,18,0.0,0.0,0.0,0.0
2018,3,19,0.0,0.0,0.0,0.0
2018,3,20,0.0,0.0,0.0,0.0
2018,3,21,0.0,0.0,0.0,0.0
2018,3,22,0.0,0.0,0.0,0.0
2018,3,23,0.0,0.0,0.0,0.0
2018,3,24,0.0,0.0,0.0,0.0
2018,3,25,0.0,0.0,0.0,0.0
2018,3,26,0.0,0.0,0.0,0.0
2018,3,27,0.0,0.0,0.0,0.0
2018,3,28,0.0,0.0,0.0,0.0
2018,3,29,0.0,0.0,0.0,0.0
2018,3,30,0.0,0.0,0.0,0.0
2018,3,31,0.0,0.0,0.0,0.0
2018,4,1,0.0,0.0,0.0,0.0
2018,4,2,0.0,0.0,0.0,0.0
2018,4,3,0.0,0.0,0.0,0.0
2018,4,4,0.0,0.0,0.0,0.0
2018,4,5,0.0,0.0,0.0,0.0
2018,4,6,0.0,0.0,0.0,0.0
2018,4,7,0.0,0.0,0.0,0.0
2018,4,8,0.0,0.0,0.0,0.0
2018,4,9,0.0,0.0,0.0,0.0
2018,4,10,0.0,0.0,0.0,0.0
2018,4,11,0.0,0.0,0.0,0.0
2018,4,12,0.0,0.0,0.0,0.0
2018,4,13,0.0,0.0,0.0,0.0
2018,4,14,0.0,0.0,0.0,0.0
2018,4,15,0.0,0.0,0.0,0.0
2018,4,16,0.0,0.0,0.0,0.0
2018,4,17,0.0,0.0,0.0,0.0
2018,4,18,0.0,0.0,0.0,0.0
2018,4,19,0.0,0.0,0.0,0.010550000000876025
2018,4,20,0.0,0.0,0.0,0.0
2018,4,21,0.0,0.0,0.0,0.0
2018,4,22,0.0,0.0,0.0,0.0
