S_Year,S_Month,S_DAY,P_MAX,P_MIN,P_AVG,YL_MAX
2017,11,9,8.0,0.9,1.6544249647887312,38.80028999999922
2017,11,10,8.65,0.85,2.0169835664335647,45.79004000000168
2017,11,11,8.9,0.85,2.5555672916666663,56.72998000000007
2017,11,12,8.4,0.85,2.0912383972125435,47.950190000000475
2017,11,13,8.15,0.85,1.9752866319444438,46.4301800000012
2017,11,14,8.7,1.15,3.4543729720279757,81.93016999999963
2017,11,15,9.15,1.15,4.000512995951424,90.1201200000005
2017,11,16,8.9,1.3,2.74213104895105,63.38036999999895
2017,11,17,9.1,1.25,2.6727260975609766,61.12989000000107
2017,11,18,8.15,1.25,3.3722426388888884,80.72998000000189
2017,11,19,8.75,1.3,3.827744982578401,89.06005999999616
2017,11,20,10.0,1.25,2.5934900000000036,61.03954999999951
2017,11,21,9.65,1.3,3.2385317073170743,73.92968999999994
2017,11,22,8.75,1.3,3.7371535763888875,88.87988000000041
2017,11,23,9.45,1.3,3.518344421052632,82.29980000000069
2017,11,24,8.55,1.3,2.4152890972222263,56.110350000000835
2017,11,25,8.55,1.3,2.729662247191019,57.610350000000835
2017,11,26,7.95,1.25,4.969652027972028,59.02050000000054
2017,11,27,8.65,1.25,3.792653125000003,89.2792900000004
2017,11,28,8.7,1.25,2.8822236491228073,67.19043000000056
2017,11,29,8.65,1.3,3.8632582638888957,89.39940999999999
2017,11,30,9.25,1.3,5.846990209059234,138.89062999999987
2017,12,1,9.5,1.3,4.158171654676261,95.54980000000069
2017,12,2,8.25,1.3,3.0437143006993033,69.64940999999999
2017,12,3,8.25,1.25,2.521358993055563,58.04980000000069
2017,12,4,9.35,1.3,5.8191427430555525,135.91992000000027
2017,12,5,9.05,1.25,2.931885915492961,67.82030999999915
2017,12,6,8.6,1.25,2.5892926388888955,58.6503900000007
2017,12,7,8.65,1.3,3.069347456445995,69.94043000000056
2017,12,8,9.05,1.3,5.046952743055549,119.21972000000096
2017,12,9,8.35,1.3,3.2184134375000037,73.5
2017,12,10,8.65,1.25,2.6009806643356668,60.580079999999725
2017,12,11,8.9,1.3,3.7922246875000005,86.00977000000057
2017,12,12,9.2,1.3,6.06436909090909,143.6298800000004
2017,12,13,9.2,1.25,4.419220902777784,101.46972999999889
2017,12,14,9.1,1.25,3.6863831944444416,87.04981000000043
2017,12,15,8.55,1.25,3.5718389930555574,82.77051000000029
2017,12,16,8.35,1.3,4.615390798611114,107.63964999999916
2017,12,17,9.2,1.35,3.878947222222225,90.22069999999985
2017,12,18,9.95,1.35,2.9633634027777735,68.81053999999858
2017,12,19,9.8,1.35,3.8949993055555563,86.8496099999993
2017,12,20,9.9,1.35,4.812619722222226,109.80956999999944
2017,12,21,9.45,1.35,3.4784386713286706,80.20019000000138
2017,12,22,8.7,1.3,2.9463298263888897,67.16015999999945
2017,12,23,8.8,1.3,4.089140729166664,91.98047000000042
2017,12,24,8.6,1.3,5.045243623693384,117.44042999999874
2017,12,25,9.2,1.3,4.163320173611117,96.95996000000014
2017,12,26,9.4,1.3,3.2542947349823264,72.5898500000003
2017,12,27,9.35,1.3,3.4591535069444506,79.09961000000112
2017,12,28,10.85,1.3,5.504774545454543,131.0107399999997
2017,12,29,9.8,1.3,4.53720206405694,105.6796800000011
2017,12,30,8.7,1.3,3.698852083333333,84.58007999999973
2017,12,31,8.6,1.3,3.2977902473498233,76.18944999999985
2018,1,1,8.45,1.3,5.9343342013888964,140.38965000000098
2018,1,2,9.4,1.3,3.930367595818817,89.81055000000015
2018,1,3,9.6,1.35,3.776163437499999,87.37011999999959
2018,1,4,9.75,1.4,4.429937326388887,101.87011999999959
2018,1,5,9.6,1.5,6.9099690277777785,165.49023999999918
2018,1,6,8.9,1.35,5.0206770279720265,116.19043000000056
2018,1,7,8.9,1.3,3.9277897569444473,87.60058000000026
2018,1,8,9.5,1.35,3.983272902097899,89.71971999999914
2018,1,9,9.6,1.3,6.68880760416667,159.88964999999916
2018,1,10,9.6,1.35,4.994481770833339,116.74023000000125
2018,1,11,10.0,1.35,3.957183693379789,91.62011999999959
2018,1,12,9.6,1.3,4.259901631944447,98.25976000000082
2018,1,13,8.85,5.0,6.326397812500003,152.01952999999958
2018,1,14,8.95,1.35,4.8634957597173125,111.67968999999903
2018,1,15,9.25,1.35,3.9839140972222205,89.50976999999875
2018,1,16,9.55,1.4,3.666092187500004,83.04979999999887
2018,1,17,9.3,1.4,5.535394131944448,130.45995999999832
2018,1,18,8.7,1.4,4.1302890277777795,95.20018999999957
2018,1,19,9.1,1.3,3.55672482638889,79.39940999999999
2018,1,20,8.4,1.3,4.0805554861111135,95.47948999999971
2018,1,21,8.3,1.3,5.680545937500002,132.83984000000055
2018,1,22,9.25,1.35,4.697527944250873,106.5
2018,1,23,9.5,1.5,4.9109204195804175,114.16014999999788
2018,1,24,8.75,1.35,4.500867964912285,106.20995999999832
2018,1,25,9.0,1.3,5.95864148854962,144.7001999999993
2018,1,26,9.95,1.35,5.306025277777776,124.1298799999986
2018,1,27,9.6,1.35,4.989711909722223,116.84961000000112
2018,1,28,8.4,1.35,4.551233923611114,104.07032000000072
2018,1,29,9.35,1.3,5.983053680555561,142.4892600000003
2018,1,30,10.45,1.35,3.9713769444444478,90.78026999999929
2018,1,31,9.35,1.35,3.380446840277777,78.39940999999817
2018,2,1,8.4,1.3,3.6396391258741287,83.88964999999916
2018,2,2,8.8,1.35,6.06808197916667,143.04981000000225
2018,2,3,8.65,1.35,4.364577673611112,101.19042999999874
2018,2,4,9.25,1.35,4.025167395833332,91.95996000000014
2018,2,5,9.1,1.4,4.720001388888892,109.6894599999996
2018,2,6,9.25,1.4,6.0926944876325155,144.7607399999997
2018,2,7,8.6,1.35,4.063532118055553,92.32030999999915
2018,2,8,9.55,1.35,3.9725477272727283,91.33008000000154
2018,2,9,8.5,1.35,3.684704270833336,84.3105400000004
2018,2,10,8.55,1.6,4.52255461805556,102.8808599999993
2018,2,11,8.45,1.35,4.124505352112673,97.31053999999858
2018,2,12,9.45,1.35,3.4185478819444395,77.41992000000027
2018,2,13,9.45,1.35,3.157970069930075,70.92969000000085
2018,2,14,8.8,1.35,4.713585590277777,107.31055000000197
2018,2,15,8.5,1.3,3.6182309507042216,83.18944999999803
2018,2,16,8.65,1.3,2.498238472222214,57.34961000000112
2018,2,17,8.3,1.35,3.9478300348432054,92.13086000000112
2018,2,18,8.45,1.35,3.27384150877194,75.96093999999721
2018,2,19,8.65,1.35,3.5716460416666638,79.25977000000057
2018,2,20,8.55,1.3,3.098294496402877,68.71875
2018,2,21,8.3,1.3,3.2369645486111134,73.33007999999973
2018,2,22,8.7,1.3,3.577244335664335,82.2695300000014
2018,2,23,8.45,1.3,2.763750209790205,64.79102000000057
2018,2,24,9.35,1.3,3.6349024652777735,80.98047000000224
2018,2,25,8.45,1.3,3.4633732986111143,76.72852000000057
2018,2,26,9.05,1.3,4.4322237152777815,102.99023999999918
2018,2,27,8.85,1.3,3.577997187500001,82.70117000000027
2018,2,28,9.3,1.3,3.2380574652777723,76.5
2018,3,1,8.7,1.35,3.1088925783972097,70.50976000000082
2018,3,2,8.8,1.4,4.447097743055554,103.46094000000085
2018,3,3,7.95,1.4,2.687003784722222,62.24022999999943
2018,3,4,8.85,1.3,3.227658385964912,73.46094000000085
2018,3,5,8.55,1.3,3.6265168402777834,81.83007999999973
2018,3,6,9.0,1.4,5.424906013986011,128.61914000000252
2018,3,7,8.8,1.3,4.298824374999995,100.86132999999973
2018,3,8,8.4,1.3,3.1424395833333327,71.29882999999973
2018,3,9,8.4,1.3,3.4640797569444493,80.39062000000195
2018,3,10,8.4,1.35,4.748750208333331,112.1288999999997
2018,3,11,8.55,1.3,3.4408175444839864,77.59960999999748
2018,3,12,8.8,1.3,2.831983055555557,63.81055000000197
2018,3,13,8.25,1.3,2.3903830575539557,53.890629999998055
2018,3,14,9.65,1.4,2.4778055555555527,57.65820000000167
2018,3,15,8.3,1.3,2.644782847222232,61.65039000000252
2018,3,16,8.35,1.3,2.5105840209790187,56.949219999998604
2018,3,17,8.6,1.3,3.71938173611111,85.96875
2018,3,18,8.8,1.35,3.207236236559144,73.00976000000082
2018,3,19,8.1,1.3,2.3683292013888884,55.4101499999997
2018,3,20,8.45,1.3,2.189420245614034,50.480469999998604
2018,3,21,9.05,1.3,3.0138329513888897,68.7304699999986
2018,3,22,8.55,1.35,3.132921076388892,71.52928999999858
2018,3,23,6.1,1.3,2.5986549300699275,59.291010000000824
2018,3,24,7.95,1.3,1.555141754385961,36.929690000000846
2018,3,25,8.55,1.35,1.7821212765957402,41.9296800000011
2018,3,26,3.15,1.3,1.5297977083333336,36.888670000000275
2018,3,27,6.2,1.3,1.9498229720279647,45.83984000000055
2018,3,28,3.1,1.25,1.4774164583333311,35.65038999999888
2018,3,29,3.5,1.25,1.4866115624999974,35.56055000000197
2018,3,30,8.55,1.35,1.61332956521739,38.269530000001396
2018,3,31,7.6,1.25,1.7491893402777796,40.6484300000011
2018,4,1,1.95,1.25,1.4447811032028486,34.82031000000279
2018,4,2,4.25,1.3,1.4663740277777757,35.46092999999746
2018,4,3,8.65,1.3,1.8468904861111095,44.361329999999725
2018,4,4,8.65,1.3,2.877148226950355,65.36913999999888
2018,4,5,8.15,1.3,2.903252604166669,66.70117000000027
2018,4,6,8.65,1.3,2.327899574468076,52.820309999999154
2018,4,7,7.8,1.35,2.4433887152777833,56.80859000000055
2018,4,8,8.65,1.3,2.3874870143884888,56.640629999998055
2018,4,9,8.55,1.3,1.6795795833333356,39.90038999999888
2018,4,10,8.25,1.3,1.6046663120567333,38.25
2018,4,11,3.7,1.3,1.6200562544169679,39.01954000000114
2018,4,12,4.4,1.3,1.4729372916666652,35.76952999999776
2018,4,13,8.15,1.3,1.9303360563380263,45.1796800000011
2018,4,14,6.75,1.3,1.9215615624999955,44.91015999999945
2018,4,15,6.1,1.3,1.5914471929824563,38.080079999999725
2018,4,16,4.7,1.3,1.4644844097222198,35.490240000002814
2018,4,17,3.2,1.3,1.4432241698841692,36.111329999999725
2018,4,18,4.3,1.3,1.4929482229965139,35.8788999999997
2018,4,19,5.75,1.3,1.929991184668991,46.23125000000073
2018,4,20,6.75,1.3,1.529443402777777,37.20000000000073
2018,4,21,3.35,1.3,1.5925937499999985,38.60000000000218
2018,4,22,6.45,1.5,1.8096072916666637,43.599999999998545
2018,4,23,6.35,1.3,1.7901333333333307,43.29999999999927
2018,4,24,3.45,1.3,1.500376388888885,36.70000000000073
2018,4,25,5.65,1.2,1.7763031249999992,42.900000000001455
2018,4,26,3.5,1.3,1.4477315972222193,35.30000000000291
2018,4,27,7.95,1.35,1.9479322916666701,47.5
