S_Year,S_Month,S_DAY,P_MAX,P_MIN,P_AVG,YL_MAX
2017,11,9,17.9,2.3,6.505886933797909,155.98046999999497
2017,11,10,17.8,2.7,6.472680624999999,154.8593699999983
2017,11,11,7.5,2.6,3.419052222222226,82.57031000000279
2017,11,12,7.6,2.6,3.4586963541666633,82.96094000000448
2017,11,13,19.2,2.6,6.413313784722222,154.94922000000224
2017,11,14,16.4,2.9,6.814353263888891,163.8515600000028
2017,11,15,17.4,2.8,6.569280647773276,173.96875
2017,11,16,19.5,2.7,6.572313506944443,158.7109399999972
2017,11,17,18.7,2.7,6.64605722222223,160.3593800000017
2017,11,18,8.1,2.8,3.9114240277777785,94.88672000000224
2017,11,19,8.4,2.9,3.947138333333336,95.18359999999666
2017,11,20,17.7,3.0,6.8419035664335635,163.44922000000224
2017,11,21,20.5,3.1,7.035173125000001,168.77734000000055
2017,11,22,16.7,3.0,6.281713576388888,151.30077999999776
2017,11,23,16.5,2.9,6.647504340277777,160.08985000000393
2017,11,24,17.2,2.7,6.7663334375,162.3515600000028
2017,11,25,12.2,3.0,4.63558449438202,103.16015999999945
2017,11,26,7.2,3.0,4.0509200000000005,48.05077999999776
2017,11,27,19.5,3.0,7.212514513888889,173.0390600000028
2017,11,28,16.4,2.9,6.974809444444446,167.80859000000055
2017,11,29,18.7,2.9,7.352186006944442,177.26171999999497
2017,11,30,19.2,3.3,7.271274895833339,174.94920999999886
2017,12,1,18.2,3.0,7.32319528571429,175.17969000000448
2017,12,2,7.9,2.9,3.895759479166666,94.0
2017,12,3,8.1,3.1,4.033333159722224,97.19922000000224
2017,12,4,19.1,3.1,7.824971840277773,187.73046999999497
2017,12,5,20.6,3.0,7.4547054166666635,179.8515699999989
2017,12,6,22.7,2.9,7.18830954861111,172.69922000000224
2017,12,7,21.0,2.4,7.472942673611107,179.67969000000448
2017,12,8,19.7,2.9,7.340229409722222,176.19922000000224
2017,12,9,9.2,2.6,3.5014944791666656,84.58202999999776
2017,12,10,8.0,2.5,3.352142812500001,80.19921999999497
2017,12,11,19.8,2.4,7.409474062499991,178.58984000000055
2017,12,12,18.3,2.6,6.8874754861111125,165.9921899999972
2017,12,13,19.9,3.0,7.492746909722218,180.25
2017,12,14,20.7,2.6,7.470601041666664,180.2421899999972
2017,12,15,19.3,2.8,7.721586006944444,185.44140999999945
2017,12,16,8.2,2.5,4.058075694444444,98.03905999999552
2017,12,17,8.1,2.8,3.9271672569444465,94.78125
2017,12,18,18.9,2.7,7.296701493055561,176.02734000000055
2017,12,19,22.4,2.9,7.9073812847222245,190.03125
2017,12,20,20.6,2.7,7.626286840277771,183.7031199999983
2017,12,21,20.8,2.7,7.5772615625,181.66797000000224
2017,12,22,20.0,2.8,7.355101916376306,176.30077999999776
2017,12,23,8.3,2.8,4.210760763888894,101.38281000000279
2017,12,24,8.1,2.5,4.009272361111111,96.67188000000169
2017,12,25,19.4,3.1,7.557617187500004,181.33203000000503
2017,12,26,21.9,3.1,7.565381041666672,182.1406300000017
2017,12,27,18.9,2.7,7.797642187499999,187.48047000000224
2017,12,28,20.2,2.6,8.251607587412593,198.9218800000017
2017,12,29,20.2,2.5,7.900427056737592,193.58984999999666
2017,12,30,6.5,2.4,2.7344399999999975,65.80078000000503
2017,12,31,8.1,2.4,3.5346497560975636,84.99219000000448
2018,1,1,8.2,2.4,4.341051458333336,104.27735000000393
2018,1,2,22.6,2.4,7.9050654861111145,190.5781199999983
2018,1,3,20.7,2.6,7.841624097222221,188.19140999999945
2018,1,4,18.6,2.6,8.358766180555559,201.61327999999776
2018,1,5,20.4,4.9,8.672715451388889,209.2890600000028
2018,1,6,10.2,4.8,5.833512743055555,140.1875
2018,1,7,11.9,4.7,5.806323194444445,140.01954000000114
2018,1,8,20.5,2.8,7.971999965277776,192.14844000000448
2018,1,9,17.8,2.7,7.62033505226481,182.1328100000028
2018,1,10,19.5,2.6,7.36908590277778,177.22264999999607
2018,1,11,19.0,2.5,7.46487076388889,179.3125
2018,1,12,18.7,4.6,7.705004895833341,185.16015999999945
2018,1,13,9.8,4.3,5.601128159722223,135.1171899999972
2018,1,14,10.2,4.3,5.5447210763888855,133.83984999999666
2018,1,15,21.4,4.2,8.053771249999993,193.6875
2018,1,16,20.5,3.0,7.867844409722224,189.0
2018,1,17,20.0,2.7,6.740101249999999,162.6093699999983
2018,1,18,19.3,2.8,7.184341111111111,173.0390699999989
2018,1,19,18.8,2.7,7.047304027777777,169.87109000000055
2018,1,20,8.3,2.8,4.029310104166663,97.50781000000279
2018,1,21,8.2,3.0,4.0795057986111125,98.64843999999721
2018,1,22,18.5,2.7,6.678877770034846,161.09765999999945
2018,1,23,18.9,2.8,7.1631134146341475,172.79297000000224
2018,1,24,21.4,2.9,8.283494315789468,201.16015999999945
2018,1,25,18.3,3.1,7.002489847328245,177.77735000000393
2018,1,26,19.1,3.5,7.761948958333331,186.58984999999666
2018,1,27,8.3,2.7,4.005555451388888,96.55859999999666
2018,1,28,7.8,2.7,3.6226760763888888,87.3671800000011
2018,1,29,20.4,3.3,7.661059895833329,183.90625999998883
2018,1,30,20.5,2.9,7.198884131944445,172.78125
2018,1,31,17.8,3.0,6.937638888888886,166.98827999999776
2018,2,1,20.6,3.6,7.181267013888888,172.62109000000055
2018,2,2,22.3,4.0,7.427266979166671,178.91796999999497
2018,2,3,8.9,3.5,4.707510798611113,113.37109000000055
2018,2,4,9.1,3.8,4.84595559027778,117.12890000000334
2018,2,5,19.7,3.8,8.068316770833325,193.68359000000055
2018,2,6,22.2,3.6,7.854543125000008,189.12890999999945
2018,2,7,20.4,3.9,7.7561791666666675,186.4882800000123
2018,2,8,19.8,3.4,7.587585486111117,182.98827999999776
2018,2,9,18.3,3.9,7.562557638888888,181.9882899999866
2018,2,10,9.6,3.9,4.853360555555559,116.90234000000055
2018,2,11,19.8,4.2,7.631907187500005,183.9609300000011
2018,2,12,18.9,3.7,8.015168854166664,192.55077999999776
2018,2,13,18.3,3.7,7.3197178472222255,176.79687999998714
2018,2,14,14.4,3.6,5.915971354166674,142.3398400000151
2018,2,15,8.7,3.6,4.4946737847222185,108.8125
2018,2,16,8.7,3.9,4.58780013888889,110.48827999999776
2018,2,17,8.8,3.8,4.890337951388889,117.87109000000055
2018,2,18,8.9,3.9,4.834770659722227,116.39061999999831
2018,2,19,8.5,3.8,4.706064895833337,113.70702999999776
2018,2,20,8.6,3.8,4.590832534722221,110.66015000001062
2018,2,21,8.7,3.9,4.6766852777777785,112.76172000000224
2018,2,22,20.8,4.0,7.432854374999999,179.37890999999945
2018,2,23,17.6,3.9,7.164952569444432,172.35155999999552
2018,2,24,18.7,3.9,6.554406458333336,157.1875
2018,2,25,8.4,3.9,4.3553303846153755,104.30859000000055
2018,2,26,17.9,3.9,7.243681458333335,174.1718800000017
2018,2,27,17.9,3.9,7.809824097222229,187.67968000001565
2018,2,28,19.9,4.0,8.38176506944444,202.17969000000448
2018,3,1,17.2,4.2,7.504013263888887,180.10937999998714
2018,3,2,19.8,3.8,8.219099965277776,198.1328100000028
2018,3,3,8.6,3.1,3.875459930555555,94.07812999999442
2018,3,4,10.1,2.9,3.830246736111112,92.05077999999776
2018,3,5,20.6,3.1,7.64270548611111,183.5703100000028
2018,3,6,19.1,3.4,7.951756145833333,191.25
2018,3,7,20.2,3.3,7.656894201388888,184.01952999999776
2018,3,8,18.2,3.1,7.12160326388889,171.0
2018,3,9,21.6,3.3,7.536849548611112,181.3203100000028
2018,3,10,9.3,4.0,5.108905208333331,122.7578199999989
2018,3,11,9.1,4.0,5.033135590277778,120.5
2018,3,12,18.1,3.9,7.769478541666664,186.63280999999552
2018,3,13,18.7,4.1,7.4251303124999986,179.48047000000224
2018,3,14,18.2,3.8,7.0205221180555535,168.8593699999983
2018,3,15,20.7,3.7,7.088873194444444,170.5703100000028
2018,3,16,19.5,3.8,7.553955312499996,181.58984999999666
2018,3,17,11.9,4.0,5.062136250000002,121.33202999999776
2018,3,18,10.2,4.1,5.123131284722221,123.64062000000558
2018,3,19,23.2,4.2,8.165743680555558,196.71875
2018,3,20,20.1,3.5,7.67911274305555,184.68359000000055
2018,3,21,20.1,3.6,7.702144722222223,185.86719000000448
2018,3,22,17.8,3.3,7.390862291666668,177.4609300000011
2018,3,23,17.6,3.2,6.797811666666667,163.70702999999776
2018,3,24,8.5,3.3,4.170254000000001,100.33202999999776
2018,3,25,8.4,3.4,4.244001388888885,102.35155999999552
2018,3,26,17.3,3.1,6.749482118055559,162.75
2018,3,27,19.0,3.1,6.697395347222222,160.9609399999972
2018,3,28,17.5,3.4,6.8115624652777775,164.1484399999972
2018,3,29,14.5,4.1,6.178821215277775,148.4179600000134
2018,3,30,16.4,4.0,6.364734583333335,153.00780999999552
2018,3,31,8.8,3.5,4.1700609375000015,100.41015999999945
2018,4,1,8.4,3.7,4.378625937499999,105.39062999998714
2018,4,2,13.7,3.7,5.713874027777777,137.5
2018,4,3,16.3,4.0,6.885378333333333,165.5
2018,4,4,16.0,3.3,6.461438229166666,155.1289099999849
2018,4,5,8.5,3.3,3.9644237847222223,95.57031000001007
2018,4,6,7.7,3.1,3.736717916666666,90.24219000000448
2018,4,7,7.7,3.2,3.637662430555556,88.07030999999552
2018,4,8,17.9,3.1,7.233855312499996,174.33984000000055
2018,4,9,17.0,4.0,7.018065486111109,168.6875
2018,4,10,18.2,3.8,7.037371388888889,168.66014999999607
2018,4,11,16.9,3.0,5.992796006944443,143.83203000000503
2018,4,12,16.7,3.0,5.865286875000002,141.01172000000224
2018,4,13,15.8,3.1,6.559705694444437,158.0859300000011
