S_Year,S_Month,S_DAY,P_MAX,P_MIN,P_AVG,YL_MAX
2017,11,9,11.0,0.1,0.4949417021276583,12.550049999999828
2017,11,10,11.2,0.1,0.457889964664311,11.65014999999994
2017,11,11,11.6,0.1,0.20697246527777846,6.139890000000378
2017,11,12,0.3,0.1,0.10026881720430154,4.429929999999786
2017,11,13,11.4,0.1,0.519165381944443,13.199950000000172
2017,11,14,11.5,0.1,0.5483688501742149,12.729980000000069
2017,11,15,10.9,0.1,0.41787348178137534,13.370120000000043
2017,11,16,10.6,0.1,0.4039420567375875,12.199950000000172
2017,11,17,11.4,0.1,0.4961888339222603,12.459959999999683
2017,11,18,0.3,0.1,0.10194444444444492,4.530029999999897
2017,11,19,0.2,0.1,0.10989162454873687,4.540039999999863
2017,11,20,11.5,0.1,0.5144462937062917,13.319820000000163
2017,11,21,11.3,0.1,0.5411675958188134,12.959960000000137
2017,11,22,10.8,0.1,0.4913846874999991,12.810059999999794
2017,11,23,11.3,0.1,0.4026876388888887,12.840090000000146
2017,11,24,11.5,0.1,0.5509150889679694,13.229980000000069
2017,11,25,7.3,0.1,0.16008139097744348,4.689940000000206
2017,11,26,0.2,0.1,0.10134978873239414,2.2900400000003174
2017,11,27,11.4,0.1,0.5179587499999986,12.879879999999957
2017,11,28,11.5,0.1,0.5312733216783209,13.469970000000103
2017,11,29,11.1,0.1,0.48647642361110993,12.280029999999897
2017,11,30,11.4,0.1,0.492224807017543,12.880129999999099
2017,12,1,12.2,0.1,0.5400616176470611,14.060059999999794
2017,12,2,0.5,0.3,0.3002331118881103,7.689940000000206
2017,12,3,0.3,0.3,0.29999999999999843,7.729980000000069
2017,12,4,11.7,0.2,0.6688714583333357,15.870120000000043
2017,12,5,11.6,0.1,0.6724705923344972,15.540039999999863
2017,12,6,11.1,0.1,0.5445015277777775,14.979980000000069
2017,12,7,11.6,0.1,0.48991063604240165,12.200199999999768
2017,12,8,10.6,0.1,0.5501995070422523,13.319820000000163
2017,12,9,0.2,0.1,0.1087094097222227,4.560059999999794
2017,12,10,0.3,0.1,0.10165478723404305,4.520019999999931
2017,12,11,10.6,0.1,0.5177682986111135,13.639889999999923
2017,12,12,10.9,0.3,0.6754982517482541,16.17016999999987
2017,12,13,10.3,0.3,0.6053280902777805,16.510009999999966
2017,12,14,11.6,0.1,0.565136219081271,14.160159999999905
2017,12,15,11.6,0.1,0.4899866197183085,12.92993000000024
2017,12,16,0.2,0.1,0.11102434027777829,4.510009999999966
2017,12,17,0.3,0.1,0.10551782142857197,4.510009999999966
2017,12,18,11.4,0.1,0.5494948263888874,13.75
2017,12,19,11.5,0.1,0.5153691637630652,13.169920000000275
2017,12,20,11.4,0.1,0.49011177083333224,12.949950000000172
2017,12,21,10.9,0.1,0.5025012367491148,12.830079999999725
2017,12,22,10.5,0.1,0.5385141696113064,13.049800000000232
2017,12,23,0.2,0.1,0.10420718750000053,4.520019999999931
2017,12,24,0.4,0.1,0.10746399280575589,4.530029999999442
2017,12,25,11.0,0.1,0.4433686458333322,13.07006999999976
2017,12,26,11.3,0.1,0.5537551228070197,14.299800000000232
2017,12,27,11.8,0.3,0.6549810069444472,16.08008000000018
2017,12,28,11.6,0.3,0.6490450704225368,16.260009999999966
2017,12,29,11.8,0.3,0.6066973818181848,15.449950000000172
2017,12,30,0.3,0.3,0.2999999999999984,8.069820000000163
2017,12,31,0.5,0.3,0.30048133574007063,8.010009999999966
2018,1,1,0.3,0.3,0.2999999999999984,7.83008000000018
2018,1,2,11.5,0.3,0.7138019230769254,17.02001999999993
2018,1,3,11.6,0.1,0.48997111111111025,12.7797800000003
2018,1,4,11.4,0.1,0.4523354861111098,12.989990000000034
2018,1,5,11.1,0.1,0.3929405208333322,12.479979999999614
2018,1,6,0.2,0.1,0.10446428571428619,4.479979999999614
2018,1,7,6.8,0.1,0.1176290877192987,4.729979999999614
2018,1,8,11.0,0.1,0.5741524738675983,14.140139999999974
2018,1,9,11.8,0.1,0.7480269642857132,15.91991999999982
2018,1,10,11.7,0.1,0.4675031944444433,12.469969999998739
2018,1,11,10.6,0.1,0.49075229166666556,12.67993000000024
2018,1,12,11.7,0.1,0.5008249999999985,12.719969999999648
2018,1,13,0.2,0.1,0.11438243055555603,4.560059999999339
2018,1,14,0.3,0.1,0.11699989285714314,4.590090000000146
2018,1,15,11.6,0.1,0.48380746527777707,13.270019999999931
2018,1,16,11.1,0.1,0.5187077031802144,14.209959999999683
2018,1,17,11.8,0.3,0.6722039236111133,16.389889999999923
2018,1,18,10.4,0.1,0.6237243157894727,14.81005999999934
2018,1,19,11.7,0.1,0.48182932384341504,12.649899999999434
2018,1,20,0.2,0.1,0.11903850694444482,4.610110000000077
2018,1,21,0.3,0.1,0.10188852517985655,4.559810000000198
2018,1,22,11.3,0.1,0.4963157839721243,13.350100000000111
2018,1,23,11.5,0.1,0.48718613240417996,12.75
2018,1,24,11.6,0.1,0.4890145614035075,12.459959999999683
2018,1,25,11.0,0.1,0.4823323461538454,14.090089999999691
2018,1,26,12.0,0.3,0.6075520833333361,16.350100000000566
2018,1,27,0.3,0.2,0.2986832740213508,7.550049999999828
2018,1,28,0.3,0.2,0.29884430656934163,7.579830000000129
2018,1,29,12.1,0.2,0.7061681597222249,15.709959999999683
2018,1,30,11.2,0.3,0.7195038351254502,16.57006999999976
2018,1,31,11.8,0.3,0.5727091319444471,15.449949999999717
2018,2,1,11.3,0.3,0.6644298566308268,16.260009999999966
2018,2,2,11.5,0.3,0.6356307638888912,16.089840000000095
2018,2,3,0.3,0.3,0.29999999999999843,8.110110000000077
2018,2,4,1.1,0.1,0.21029014814814906,6.319819999999709
2018,2,5,10.1,0.1,0.4852416319444437,13.560059999999794
2018,2,6,10.7,0.1,0.5382923508771917,14.270019999999931
2018,2,7,10.5,0.1,0.46258513888888797,13.080079999999725
2018,2,8,11.6,0.1,0.48067573943661884,12.569820000000163
2018,2,9,10.6,0.1,0.48832076923076745,12.949950000000172
2018,2,10,0.2,0.1,0.14245255244755237,4.660159999999905
2018,2,11,11.9,0.1,0.43079459259259173,10.309810000000198
2018,2,12,11.3,0.1,0.46355402777777716,11.479980000000069
2018,2,13,11.0,0.1,0.3362736713286701,10.310059999999794
2018,2,14,10.8,0.1,0.2808018402777768,8.270019999999931
2018,2,15,0.2,0.1,0.10058178181818225,4.570070000000214
2018,2,16,0.2,0.1,0.10459641843971675,4.5397900000002664
2018,2,17,0.2,0.1,0.10284718750000044,4.550049999999828
2018,2,18,0.2,0.1,0.10636369402985112,4.550050000000283
