S_Year,S_Month,S_DAY,S_Hour,P_MAX,P_MIN,P_AVG,YL_MAX
2017,11,9,0,60.0,48.0,49.18181818181818,43.5
2017,11,9,1,48.0,48.0,48.0,48.25
2017,11,9,2,48.0,48.0,48.0,47.5625
2017,11,9,3,48.0,48.0,48.0,48.3125
2017,11,9,4,60.0,48.0,48.25,50.75
2017,11,9,5,84.0,48.0,68.16666666666667,70.3125
2017,11,9,6,60.0,48.0,48.666666666666664,49.375
2017,11,9,7,84.0,48.0,58.38333333333333,58.25
2017,11,9,8,180.0,60.0,108.66666666666667,103.25
2017,11,9,9,216.0,168.0,185.35,174.125
2017,11,9,10,240.0,168.0,193.70952416666668,179.75
2017,11,9,11,240.0,180.0,196.16666666666666,180.125
2017,11,9,12,228.0,156.0,177.01666666666665,165.375
2017,11,9,13,216.0,156.0,179.29999999999998,174.8125
2017,11,9,14,228.0,156.0,180.0,173.0
2017,11,9,15,216.0,156.0,176.83333333333334,170.5625
2017,11,9,16,216.0,156.0,172.79999999999998,167.5
2017,11,9,17,192.0,108.0,145.85,143.375
2017,11,9,18,120.0,84.0,92.15000000000002,91.6875
2017,11,9,19,84.0,72.0,78.23333333333333,78.875
2017,11,9,20,108.0,72.0,103.05,101.6875
2017,11,9,21,108.0,60.0,74.39999999999999,72.0
2017,11,9,22,72.0,48.0,60.46666666666667,60.875
2017,11,9,23,72.0,60.0,62.199999999999996,64.0
2017,11,10,0,84.0,48.0,70.5,70.5
2017,11,10,1,72.0,48.0,55.666666666666664,56.0
2017,11,10,2,72.0,48.0,49.45000000000001,50.375
2017,11,10,3,48.0,48.0,48.0,48.9375
2017,11,10,4,60.0,48.0,48.18181818181818,49.0
2017,11,10,5,48.0,48.0,48.0,48.9375
2017,11,10,6,72.0,48.0,49.699999999999996,51.625
2017,11,10,7,96.0,48.0,63.199999999999996,64.25
2017,11,10,8,192.0,72.0,109.29761916666666,107.0625
2017,11,10,9,240.0,156.0,195.54761916666666,188.8125
2017,11,10,10,216.0,156.0,183.78333333333333,176.5
2017,11,10,11,228.0,168.0,184.08333333333334,178.8125
2017,11,10,12,228.0,156.0,184.9666666666667,179.9375
2017,11,10,13,228.0,156.0,194.15,187.25
2017,11,10,14,204.0,144.0,168.43333333333334,163.3125
2017,11,10,15,216.0,156.0,168.65,163.125
2017,11,10,16,192.0,144.0,165.17857166666667,159.3125
2017,11,10,17,180.0,120.0,147.41666666666666,137.75
2017,11,10,18,120.0,84.0,96.33333333333333,91.125
2017,11,10,19,84.0,72.0,77.05,75.625
2017,11,10,20,96.0,60.0,66.83333333333333,64.0
2017,11,10,21,96.0,84.0,94.03333333333335,90.1875
2017,11,10,22,60.0,48.0,56.1809525,55.125
2017,11,10,23,60.0,48.0,49.25,52.0
2017,11,11,0,60.0,36.0,45.28333333333334,46.8125
2017,11,11,1,48.0,36.0,41.63333333333333,45.0625
2017,11,11,2,72.0,36.0,54.561905,55.6875
2017,11,11,3,96.0,48.0,66.85000000000001,68.0
2017,11,11,4,60.0,36.0,48.43333333333334,52.4375
2017,11,11,5,72.0,36.0,47.17857166666666,50.8125
2017,11,11,6,96.0,36.0,57.16071416666667,55.8125
2017,11,11,7,60.0,36.0,44.98333333333333,47.0625
2017,11,11,8,84.0,48.0,59.18333333333334,57.1875
2017,11,11,9,120.0,60.0,83.75,80.625
2017,11,11,10,120.0,72.0,81.1,76.5
2017,11,11,11,108.0,72.0,86.96666666666665,84.6875
2017,11,11,12,96.0,72.0,73.60000000000001,71.1875
2017,11,11,13,108.0,72.0,84.63333333333333,82.625
2017,11,11,14,132.0,72.0,96.09523833333333,92.0625
2017,11,11,15,108.0,72.0,97.88333333333333,94.375
2017,11,11,16,120.0,60.0,88.38333333333333,84.875
2017,11,11,17,108.0,60.0,78.93333333333334,78.375
2017,11,11,18,96.0,60.0,77.0,77.4375
2017,11,11,19,84.0,48.0,66.06666666666666,67.375
2017,11,11,20,84.0,48.0,75.5,75.0625
2017,11,11,21,84.0,48.0,65.58333333333333,68.3125
2017,11,11,22,72.0,48.0,55.5,58.625
2017,11,11,23,48.0,36.0,47.06666666666666,47.125
2017,11,12,0,48.0,36.0,38.43333333333333,43.3125
2017,11,12,1,48.0,36.0,36.199999999999996,39.6875
2017,11,12,2,48.0,36.0,37.09090909090909,40.0625
2017,11,12,3,48.0,36.0,36.81818181818182,40.125
2017,11,12,4,48.0,36.0,37.18333333333333,40.3125
2017,11,12,5,48.0,36.0,37.654545454545456,40.8125
2017,11,12,6,60.0,36.0,49.166666666666664,51.3125
2017,11,12,7,72.0,36.0,50.75,51.0
2017,11,12,8,60.0,48.0,55.0,56.0
2017,11,12,9,84.0,60.0,70.18333333333334,69.125
2017,11,12,10,96.0,72.0,78.71666666666667,75.8125
2017,11,12,11,96.0,60.0,74.8,74.125
2017,11,12,12,96.0,60.0,85.89999999999999,85.875
2017,11,12,13,96.0,60.0,74.211905,74.6875
2017,11,12,14,84.0,72.0,77.95,76.9375
2017,11,12,15,84.0,72.0,77.68928583333333,79.75
2017,11,12,16,96.0,72.0,74.41666666666667,76.125
2017,11,12,17,96.0,72.0,77.81666666666666,76.3125
2017,11,12,18,72.0,60.0,66.11666666666666,64.1875
2017,11,12,19,60.0,48.0,56.26666666666667,55.6875
2017,11,12,20,60.0,48.0,51.42857166666667,53.1875
2017,11,12,21,60.0,48.0,56.083333333333336,55.0625
2017,11,12,22,60.0,48.0,49.628571666666666,51.625
2017,11,12,23,48.0,48.0,48.0,48.375
2017,11,13,0,48.0,36.0,41.147619166666665,44.0625
2017,11,13,1,48.0,36.0,39.08888916666667,43.1875
2017,11,13,2,48.0,36.0,38.65,42.75
2017,11,13,3,48.0,36.0,37.166666666666664,42.6875
2017,11,13,4,48.0,36.0,38.61666666666667,43.25
2017,11,13,5,48.0,36.0,40.03333333333333,43.6875
2017,11,13,6,60.0,36.0,41.300000000000004,45.4375
2017,11,13,7,108.0,36.0,60.21666666666666,62.3125
2017,11,13,8,204.0,96.0,132.97142833333336,130.8125
2017,11,13,9,324.0,168.0,239.13333333333335,231.375
2017,11,13,10,312.0,264.0,281.3,258.4375
2017,11,13,11,312.0,264.0,287.7047616666667,264.8125
2017,11,13,12,300.0,264.0,279.10476166666666,256.1875
2017,11,13,13,300.0,264.0,274.3428575,252.0
2017,11,13,14,300.0,264.0,279.72857166666665,257.4375
2017,11,13,15,324.0,264.0,291.1,266.3125
2017,11,13,16,300.0,240.0,270.53333333333336,248.0625
2017,11,13,17,312.0,252.0,276.2142858333333,255.6875
2017,11,13,18,288.0,180.0,202.15,183.8125
2017,11,13,19,180.0,168.0,172.5333333333333,160.4375
2017,11,13,20,180.0,156.0,157.9,153.5625
2017,11,13,21,168.0,156.0,156.25,151.1875
2017,11,13,22,156.0,144.0,152.61428583333333,147.125
2017,11,13,23,156.0,144.0,147.4,145.0625
2017,11,14,0,156.0,132.0,144.13333333333333,139.75
2017,11,14,1,144.0,132.0,143.33333333333334,137.3125
2017,11,14,2,144.0,132.0,142.21111083333332,136.8125
2017,11,14,3,144.0,132.0,142.61666666666667,137.125
2017,11,14,4,144.0,132.0,143.16666666666666,137.125
2017,11,14,5,168.0,132.0,150.8833333333333,146.25
2017,11,14,6,168.0,144.0,149.15,144.125
2017,11,14,7,180.0,144.0,155.38333333333333,150.375
2017,11,14,8,288.0,168.0,225.23333333333332,208.75
2017,11,14,9,300.0,252.0,267.7000008333333,254.1875
2017,11,14,10,300.0,252.0,274.60952416666663,263.3125
2017,11,14,11,288.0,252.0,268.5238091666667,257.3125
2017,11,14,12,276.0,252.0,263.3571425,252.4375
2017,11,14,13,276.0,252.0,262.6904758333334,245.875
2017,11,14,14,288.0,252.0,256.3166666666667,242.125
2017,11,14,15,288.0,252.0,260.73333333333335,239.875
2017,11,14,16,276.0,240.0,257.0833333333333,237.4375
2017,11,14,17,276.0,228.0,247.94999999999996,231.625
2017,11,14,18,252.0,192.0,225.38333333333335,215.75
2017,11,14,19,192.0,168.0,176.95000000000002,170.0
2017,11,14,20,180.0,168.0,168.73333333333332,158.6875
2017,11,14,21,168.0,156.0,167.66666666666666,156.1875
2017,11,14,22,168.0,156.0,163.5,152.3125
2017,11,14,23,168.0,156.0,156.91666666666666,148.1875
2017,11,15,0,168.0,144.0,156.41666666666666,144.875
2017,11,15,1,156.0,144.0,154.29999999999998,143.375
2017,11,15,2,156.0,144.0,144.9,137.3125
2017,11,15,3,156.0,144.0,145.1,136.9375
2017,11,15,4,156.0,144.0,144.66666666666666,136.25
2017,11,15,5,156.0,144.0,145.65,137.6875
2017,11,15,6,156.0,144.0,147.1,138.4375
2017,11,15,7,180.0,144.0,163.18333333333334,152.1875
2017,11,15,8,276.0,168.0,215.41666666666666,200.8125
2017,11,15,9,360.0,276.0,314.68333333333334,292.0
2017,11,15,10,324.0,264.0,292.9166666666667,266.8125
2017,11,15,11,336.0,276.0,306.1666666666667,284.25
2017,11,15,12,312.0,276.0,289.95,58.9375
2017,11,15,15,312.0,264.0,282.26666666666665,49.375
2017,11,15,16,288.0,240.0,254.96666666666667,242.6875
2017,11,15,17,252.0,216.0,231.65,215.3125
2017,11,15,18,240.0,180.0,199.688095,184.0625
2017,11,15,19,192.0,168.0,176.70000000000002,163.125
2017,11,15,20,168.0,156.0,164.56666666666666,153.6875
2017,11,15,21,168.0,156.0,158.2,148.4375
2017,11,15,22,156.0,144.0,150.5,141.125
2017,11,15,23,156.0,144.0,146.0,138.875
2017,11,16,0,156.0,132.0,147.58333333333334,138.875
2017,11,16,1,144.0,132.0,143.75,134.0625
2017,11,16,2,156.0,132.0,144.0,134.375
2017,11,16,3,156.0,144.0,144.33333333333334,134.5
2017,11,16,4,144.0,144.0,144.0,134.3125
2017,11,16,5,144.0,144.0,144.0,134.75
2017,11,16,6,156.0,132.0,143.1,134.1875
2017,11,16,7,180.0,132.0,157.15,146.8125
2017,11,16,8,288.0,180.0,230.1833333333333,214.9375
2017,11,16,9,312.0,264.0,285.3666666666666,263.0625
