S_Year,S_Month,S_DAY,S_Hour,P_MAX,P_MIN,P_AVG,YL_MAX
2017,11,9,0,56.0,44.0,50.081709090909094,40.40625
2017,11,9,1,56.0,46.0,50.84027833333334,45.96875
2017,11,9,2,58.0,48.0,52.23214333333333,47.59375
2017,11,9,3,57.0,48.0,52.285813333333344,47.5625
2017,11,9,4,66.0,48.0,52.438491666666664,47.59375
2017,11,9,5,64.0,54.0,58.76190583333332,56.0
2017,11,9,6,62.0,53.0,56.859525,51.1875
2017,11,9,7,75.0,48.0,57.942460000000004,52.8125
2017,11,9,8,141.0,69.0,99.41269916666666,91.1875
2017,11,9,9,192.0,126.0,160.81865,147.5625
2017,11,9,10,197.0,154.0,170.55307583333334,154.0
2017,11,9,11,185.0,145.0,163.6301583333333,146.8125
2017,11,9,12,186.0,130.0,152.68333166666667,136.0
2017,11,9,13,175.0,134.0,154.02619083333335,145.21875
2017,11,9,14,175.0,148.0,160.45039583333335,150.8125
2017,11,9,15,175.0,147.0,158.80416750000003,149.59375
2017,11,9,16,178.0,143.0,153.97351249999997,144.40625
2017,11,9,17,149.0,99.0,118.29285583333335,110.78125
2017,11,9,18,104.0,70.0,90.03491999999999,84.8125
2017,11,9,19,107.0,64.0,94.5603175,89.1875
2017,11,9,20,99.0,57.0,65.44325416666668,61.59375
2017,11,9,21,148.0,88.0,118.90793666666667,111.21875
2017,11,9,22,124.0,55.0,94.40932500000001,87.59375
2017,11,9,23,59.0,49.0,53.17381083333334,49.96875
2017,11,10,0,59.0,50.0,54.985384166666655,49.625
2017,11,10,1,65.0,50.0,56.91369083333334,51.625
2017,11,10,2,64.0,50.0,54.44117083333333,49.21875
2017,11,10,3,63.0,50.0,54.71676666666667,50.03125
2017,11,10,4,59.0,50.0,53.759590833333334,48.84375
2017,11,10,5,66.0,49.0,54.68756666666666,49.59375
2017,11,10,6,70.0,51.0,57.49841333333333,54.40625
2017,11,10,7,87.0,54.0,63.0059525,58.8125
2017,11,10,8,133.0,71.0,101.21229999999998,94.78125
2017,11,10,9,193.0,133.0,159.1389875,148.78125
2017,11,10,10,184.0,150.0,164.54087416666667,154.0
2017,11,10,11,179.0,141.0,157.8734125,147.96875
2017,11,10,12,186.0,137.0,162.80753916666666,152.4375
2017,11,10,13,162.0,139.0,149.7888875,140.8125
2017,11,10,14,175.0,150.0,159.94047583333335,150.8125
2017,11,10,15,172.0,148.0,157.74761916666668,148.40625
2017,11,10,16,184.0,133.0,152.70873,144.0
2017,11,10,17,170.0,85.0,125.5583325,113.59375
2017,11,10,18,110.0,68.0,92.5639875,84.0
2017,11,10,19,97.0,84.0,88.62460333333333,80.0
2017,11,10,20,100.0,66.0,83.50515750000001,76.375
2017,11,10,21,91.0,61.0,75.67390916666666,67.96875
2017,11,10,22,88.0,47.0,57.58829333333333,51.1875
2017,11,10,23,82.0,44.0,55.551785833333334,52.0
2017,11,11,0,115.0,74.0,91.46924666666666,86.40625
2017,11,11,1,112.0,72.0,94.4425925,88.0
2017,11,11,2,76.0,50.0,60.82936416666667,56.8125
2017,11,11,3,56.0,45.0,49.71501416666667,47.21875
2017,11,11,4,57.0,46.0,50.118881666666674,46.78125
2017,11,11,5,86.0,48.0,79.9912375,76.40625
2017,11,11,6,83.0,50.0,60.217261666666666,53.1875
2017,11,11,7,88.0,61.0,81.69444416666666,74.8125
2017,11,11,8,138.0,76.0,107.87946416666666,99.21875
2017,11,11,9,135.0,87.0,99.38025833333332,89.59375
2017,11,11,10,138.0,122.0,127.32857333333332,114.8125
2017,11,11,11,130.0,65.0,93.46746083333335,82.8125
2017,11,11,12,88.0,70.0,79.269445,72.0
2017,11,11,13,87.0,62.0,71.53204416666667,65.1875
2017,11,11,14,75.0,61.0,69.23531666666665,63.625
2017,11,11,15,78.0,54.0,64.25376916666667,58.40625
2017,11,11,16,84.0,57.0,72.53233999999999,66.8125
2017,11,11,17,86.0,67.0,77.748215,73.59375
2017,11,11,18,83.0,49.0,67.06537666666667,63.25
2017,11,11,19,88.0,68.0,78.04245916666667,73.21875
2017,11,11,20,104.0,71.0,83.40714333333334,78.0
2017,11,11,21,122.0,87.0,99.47996083333334,93.59375
2017,11,11,22,94.0,48.0,68.92500000000001,64.40625
2017,11,11,23,76.0,49.0,68.77857166666665,65.59375
2017,11,12,0,55.0,46.0,49.415872500000006,46.8125
2017,11,12,1,89.0,46.0,63.714782500000005,57.21875
