S_Year,S_Month,S_DAY,S_Hour,P_MAX,P_MIN,P_AVG,YL_MAX
2017,11,9,0,0.4,0.4,0.39999999999999997,0.389889999999923
2017,11,9,1,0.4,0.4,0.39999999999999997,0.45996000000013737
2017,11,9,2,0.4,0.4,0.39999999999999997,0.45996000000013737
2017,11,9,3,0.4,0.4,0.39999999999999997,0.45996000000013737
2017,11,9,4,0.4,0.4,0.39999999999999997,0.45996000000013737
2017,11,9,5,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,9,6,0.4,0.4,0.39999999999999997,0.44018999999980224
2017,11,9,7,0.4,0.4,0.39999999999999997,0.44018999999980224
2017,11,9,8,0.4,0.4,0.39999999999999997,0.44018999999980224
2017,11,9,9,0.4,0.4,0.39999999999999997,0.44018999999980224
2017,11,9,10,0.5,0.4,0.42277750000000003,0.4499500000001717
2017,11,9,11,0.5,0.4,0.42458333333333337,0.4499500000001717
2017,11,9,12,0.5,0.4,0.40625000000000006,0.43994000000020606
2017,11,9,13,0.5,0.4,0.4458333333333333,0.469970000000103
2017,11,9,14,0.5,0.4,0.4805558333333333,0.469970000000103
2017,11,9,15,0.5,0.4,0.46138833333333334,0.469970000000103
2017,11,9,16,0.5,0.4,0.4522225,0.469970000000103
2017,11,9,17,0.5,0.4,0.48430583333333327,0.469970000000103
2017,11,9,18,0.5,0.4,0.46597249999999996,0.469970000000103
2017,11,9,19,0.5,0.4,0.45055583333333343,0.469970000000103
2017,11,9,20,0.5,0.4,0.42430499999999993,0.469970000000103
2017,11,9,21,0.5,0.4,0.4468181818181817,0.469970000000103
2017,11,9,22,0.5,0.4,0.41972250000000005,0.469970000000103
2017,11,9,23,0.5,0.4,0.40454545454545454,0.45996000000013737
2017,11,10,0,0.4,0.4,0.39999999999999997,0.45996000000013737
2017,11,10,1,0.4,0.4,0.39999999999999997,0.45996000000013737
2017,11,10,2,0.5,0.4,0.40303000000000005,0.43994000000020606
2017,11,10,3,0.4,0.4,0.39999999999999997,0.43994000000020606
2017,11,10,4,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,10,5,0.4,0.4,0.39999999999999997,0.43994000000020606
2017,11,10,6,0.4,0.4,0.39999999999999997,0.4599599999996826
2017,11,10,7,0.4,0.4,0.39999999999999997,0.4599599999996826
2017,11,10,8,0.4,0.4,0.39999999999999997,0.4599600000005921
2017,11,10,9,0.5,0.4,0.43083333333333335,0.4699700000005578
2017,11,10,10,0.5,0.4,0.46625000000000005,0.4699700000005578
2017,11,10,11,0.5,0.4,0.4708325,0.4699700000005578
2017,11,10,12,0.5,0.4,0.4461108333333333,0.4699700000005578
2017,11,10,13,0.5,0.4,0.46093249999999997,0.4699700000005578
2017,11,10,14,0.5,0.4,0.4720833333333334,0.4699700000005578
2017,11,10,15,0.5,0.4,0.42444416666666673,0.4599600000005921
2017,11,10,16,0.5,0.4,0.41236083333333334,0.44994999999971697
2017,11,10,17,0.5,0.4,0.41666666666666674,0.44994999999971697
2017,11,10,18,0.4,0.4,0.39999999999999997,0.4399399999997513
2017,11,10,19,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,10,20,0.4,0.4,0.39999999999999997,0.43994000000020606
2017,11,10,21,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,10,22,0.4,0.4,0.39999999999999997,0.43994000000020606
2017,11,10,23,0.4,0.4,0.39999999999999997,0.4499499999992622
2017,11,11,0,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,11,1,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,11,2,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,11,3,0.4,0.4,0.39999999999999997,0.46020999999973355
2017,11,11,4,0.4,0.4,0.39999999999999997,0.4501999999997679
2017,11,11,5,0.4,0.4,0.39999999999999997,0.46020999999973355
2017,11,11,6,0.4,0.4,0.39999999999999997,0.4299300000002404
2017,11,11,7,0.4,0.4,0.39999999999999997,0.43994000000020606
2017,11,11,8,0.4,0.4,0.39999999999999997,0.43994000000020606
2017,11,11,9,0.4,0.4,0.39999999999999997,0.4299300000002404
2017,11,11,10,0.4,0.4,0.39999999999999997,0.43994000000020606
2017,11,11,11,0.4,0.4,0.39999999999999997,0.4399399999997513
2017,11,11,12,0.4,0.4,0.39999999999999997,0.4399399999997513
2017,11,11,13,0.4,0.4,0.39999999999999997,0.4399399999997513
2017,11,11,14,0.4,0.4,0.39999999999999997,0.4399399999997513
2017,11,11,15,0.4,0.4,0.39999999999999997,0.4399399999997513
2017,11,11,16,0.4,0.4,0.39999999999999997,0.4599599999992279
2017,11,11,17,0.4,0.4,0.39999999999999997,0.45996000000013737
2017,11,11,18,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,11,19,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,11,20,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,11,21,0.4,0.4,0.39999999999999997,0.46020999999973355
2017,11,11,22,0.4,0.4,0.39999999999999997,0.4501999999997679
2017,11,11,23,0.4,0.4,0.39999999999999997,0.4501999999997679
2017,11,12,0,0.4,0.4,0.39999999999999997,0.4501999999997679
2017,11,12,1,0.4,0.4,0.39999999999999997,0.4299300000002404
2017,11,12,2,0.4,0.4,0.39999999999999997,0.43994000000020606
2017,11,12,3,0.4,0.4,0.39999999999999997,0.43994000000020606
2017,11,12,4,0.4,0.4,0.39999999999999997,0.43994000000020606
2017,11,12,5,0.4,0.4,0.39999999999999997,0.43994000000020606
2017,11,12,6,0.4,0.4,0.39999999999999997,0.4399399999997513
2017,11,12,7,0.4,0.4,0.39999999999999997,0.4399399999997513
2017,11,12,8,0.4,0.4,0.39999999999999997,0.4399400000006608
2017,11,12,9,0.4,0.4,0.39999999999999997,0.4399399999997513
2017,11,12,10,0.4,0.4,0.39999999999999997,0.4399399999997513
2017,11,12,11,0.4,0.4,0.39999999999999997,0.43994000000020606
2017,11,12,12,0.4,0.4,0.39999999999999997,0.43994000000020606
2017,11,12,13,0.4,0.4,0.39999999999999997,0.43993999999929656
2017,11,12,14,0.4,0.4,0.39999999999999997,0.43994000000020606
2017,11,12,15,0.5,0.4,0.4033333333333334,0.43994000000020606
2017,11,12,16,0.4,0.4,0.39999999999999997,0.43994000000020606
2017,11,12,17,0.4,0.4,0.39999999999999997,0.44018999999980224
2017,11,12,18,0.4,0.4,0.39999999999999997,0.44018999999980224
2017,11,12,19,0.4,0.4,0.39999999999999997,0.44018999999980224
2017,11,12,20,0.4,0.4,0.39999999999999997,0.44018999999980224
2017,11,12,21,0.4,0.4,0.39999999999999997,0.4201699999998709
2017,11,12,22,0.4,0.4,0.39999999999999997,0.4299300000002404
2017,11,12,23,0.4,0.4,0.39999999999999997,0.42992999999978565
2017,11,13,0,0.4,0.4,0.39999999999999997,0.42992999999978565
2017,11,13,1,0.6,0.4,0.46944416666666666,0.48999000000094384
2017,11,13,2,0.5,0.4,0.4801850000000001,0.4699699999996483
2017,11,13,3,0.5,0.4,0.40750000000000003,0.4599600000005921
2017,11,13,4,0.4,0.4,0.39999999999999997,0.44994999999971697
2017,11,13,5,0.4,0.4,0.39999999999999997,0.44994999999971697
2017,11,13,6,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,13,7,0.4,0.4,0.39999999999999997,0.4499499999992622
2017,11,13,8,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,13,9,0.4,0.4,0.39999999999999997,0.44018999999980224
2017,11,13,10,0.4,0.4,0.39999999999999997,0.44018999999980224
2017,11,13,11,0.4,0.4,0.39999999999999997,0.44018999999980224
2017,11,13,12,0.4,0.4,0.39999999999999997,0.44018999999980224
2017,11,13,13,0.4,0.4,0.39999999999999997,0.44018999999980224
2017,11,13,14,0.5,0.4,0.41750000000000004,0.4499500000001717
2017,11,13,15,0.5,0.4,0.42416666666666675,0.4499500000001717
2017,11,13,16,0.5,0.4,0.40555583333333334,0.43994000000020606
2017,11,13,17,0.5,0.4,0.40583333333333343,0.4499500000001717
2017,11,13,18,0.5,0.4,0.4027775,0.43994000000020606
2017,11,13,19,0.4,0.4,0.39999999999999997,0.43994000000020606
2017,11,13,20,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,13,21,0.4,0.4,0.39999999999999997,0.45996000000013737
2017,11,13,22,0.4,0.4,0.39999999999999997,0.45996000000013737
2017,11,13,23,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,14,0,0.4,0.4,0.39999999999999997,0.44994999999971697
2017,11,14,1,0.4,0.4,0.39999999999999997,0.44995000000062646
2017,11,14,2,0.4,0.4,0.39999999999999997,0.4599599999996826
2017,11,14,3,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,14,4,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,14,5,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,14,6,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,14,7,0.4,0.4,0.39999999999999997,0.4499500000001717
2017,11,14,8,0.4,0.4,0.39999999999999997,0.44018999999980224
2017,11,14,9,0.4,0.4,0.39999999999999997,0.4501999999997679
2017,11,14,10,0.4,0.4,0.39999999999999997,0.46020999999973355
2017,11,14,11,0.5,0.4,0.40454545454545454,0.469970000000103
2017,11,14,12,0.4,0.4,0.39999999999999997,0.45996000000013737
2017,11,14,13,0.5,0.4,0.4036363636363637,0.4499500000001717
