SDATE,temperature_min,temperature_max
2018-04-01,11,26
2018-04-02,11,27
2018-04-03,5,14
2018-04-04,1,9
2018-04-05,2,10
2018-04-06,4,11
2018-04-07,1,13
2018-04-08,4,19
2018-04-09,6,20
2018-04-10,8,24
2018-04-11,9,23
2018-04-12,7,23
2018-04-13,6,11
2018-04-14,5,19
2018-04-15,7,21
2018-04-16,11,23
2018-04-17,10,24
2018-04-18,13,28
2018-04-19,12,26
2018-04-20,14,28
2018-04-21,12,16
2018-04-22,12,17
2018-04-23,9,19
2018-04-24,9,24
2018-04-25,10,26
2018-04-26,11,27
2018-04-27,12,25
2018-04-28,16,27
2018-04-29,15,30
2018-04-30,13,24
