SDATE,temperature_min,temperature_max
2018-03-01,-3,9
2018-03-02,-2,9
2018-03-03,2,13
2018-03-04,-2,8
2018-03-05,-3,9
2018-03-06,-3,7
2018-03-07,-3,7
2018-03-08,-4,8
2018-03-09,-3,10
2018-03-10,-2,15
2018-03-11,1,11
2018-03-12,3,15
2018-03-13,4,17
2018-03-14,6,15
2018-03-15,-1,13
2018-03-16,-2,10
2018-03-17,0,4
2018-03-18,1,13
2018-03-19,2,14
2018-03-20,-2,10
2018-03-21,1,12
2018-03-22,3,17
2018-03-23,5,17
2018-03-24,4,22
2018-03-25,7,24
2018-03-26,6,25
2018-03-27,11,27
2018-03-28,8,26
2018-03-29,6,20
2018-03-30,7,19
2018-03-31,9,24
